,ftm-per-100-possessions2,ftm-per-100-possessions,ST/Pos,ST/Pos2,Margin2,Margin,Last 102,TS%M2,Last 10,FG%M2,TS%M,BL%2,FG%M,BL%,CGWin%2,CGWin%,Ind,SOS2,SOS,TOM2,TOM,Team1Win
34,22.253,22.501,0.099,0.133,11.6,3.3,27.7,0.084,13.4,0.034,0.138,0.071,0.075,0.08800000000000001,0.4,0.6,34,42,51,0.051,-0.038,0
35,22.975,20.196,0.083,0.066,10.1,7.6,24.5,0.12,4.6,0.055,0.14800000000000002,0.094,0.065,0.049,0.667,0.833,35,19,311,-0.006999999999999999,0.005,0
36,21.204,24.152,0.08199999999999999,0.102,12.4,5.8,19.7,0.147,21.3,0.053,0.071,0.08800000000000001,0.024,0.079,1.0,0.667,36,158,74,0.016,0.012,1
37,24.807,19.506,0.091,0.139,3.9,10.6,6.1,-0.006,26.4,-0.015,0.113,0.04,0.057,0.08800000000000001,0.75,0.778,37,249,25,0.058,0.04,1
38,21.155,19.827,0.083,0.121,19.1,8.0,26.7,0.163,14.9,0.083,0.17600000000000002,0.108,0.093,0.126,0.667,0.375,38,93,66,0.054000000000000006,-0.035,0
39,20.585,20.479,0.092,0.096,8.0,9.3,25.9,0.057,22.7,0.036000000000000004,0.136,0.059,0.079,0.08,0.625,0.7140000000000001,39,36,34,0.023,-0.019,1
40,22.975,22.253,0.133,0.066,10.1,11.6,24.5,0.12,27.7,0.055,0.084,0.094,0.034,0.071,0.667,0.4,40,19,42,-0.006999999999999999,0.051,0
41,19.506,24.152,0.08199999999999999,0.091,10.6,5.8,26.4,0.113,21.3,0.057,0.071,0.08800000000000001,0.024,0.079,0.778,0.667,41,25,74,0.04,0.012,0
42,21.155,20.479,0.092,0.121,19.1,9.3,26.7,0.163,22.7,0.083,0.136,0.108,0.079,0.08,0.667,0.7140000000000001,42,93,34,0.054000000000000006,-0.019,0
43,19.506,22.975,0.066,0.091,10.6,10.1,26.4,0.113,24.5,0.057,0.12,0.08800000000000001,0.055,0.094,0.778,0.667,43,25,19,0.04,-0.006999999999999999,0
44,19.506,21.155,0.121,0.091,10.6,19.1,26.4,0.113,26.7,0.057,0.163,0.08800000000000001,0.083,0.108,0.778,0.667,44,25,93,0.04,0.054000000000000006,1
45,21.215,22.918000000000006,0.112,0.085,-4.6,14.4,-7.7,-0.078,29.3,-0.048,0.111,0.05,0.042,0.069,0.615,0.857,45,335,18,0.014,0.043,1
46,19.274,21.232,0.068,0.08199999999999999,10.9,9.2,23.6,0.174,24.0,0.075,0.14,0.067,0.071,0.073,0.667,0.75,46,112,43,-0.01,-0.016,1
47,20.93,22.836,0.111,0.108,11.5,11.2,17.7,0.097,24.1,0.056,0.096,0.07,0.013,0.045,0.5,0.667,47,199,95,0.046,0.053,0
48,27.225,18.791,0.101,0.079,9.1,2.0,20.9,0.172,8.0,0.079,0.008,0.133,0.006999999999999999,0.06,0.727,0.8,48,37,125,-0.021,0.008,1
49,21.584,21.969,0.098,0.125,7.5,6.3,14.9,0.01,19.2,-0.011,0.076,0.08800000000000001,0.025,0.073,0.545,0.4,49,70,64,0.07,0.021,0
