Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Akron,0.529,0.636,0.667,171,10.3,3.7,1.01,103.7,0.956,99.6,0.054,4.1,70.1,66.4,3.7,1.067,1.01,0.057,0.431,0.42,0.011,0.36,0.715,0.479,0.093,0.171,0.201,0.03,0.055,0.278
Alabama St,0.439,0.452,0.333,332,-6.2,-3.5,0.896,92.8,0.947,106,-0.051,-13.2,61.5,65,-3.5,0.958,1.047,-0.089,0.398,0.417,-0.019,0.291,0.606,0.508,0.107,0.231,0.228,-0.003,0.091,0.329
Arizona,0.623,0.818,0.857,29,27.8,9.4,1.105,117.4,0.969,97.8,0.136,19.6,76.6,67.2,9.4,1.175,1.032,0.143,0.472,0.443,0.029,0.402,0.75,0.534,0.073,0.187,0.183,-0.004,0.048,0.27
Belmont,0.576,0.882,0.75,242,24.1,18.4,1.127,112.6,0.869,94.1,0.258,18.5,80.4,61.9,18.5,1.159,1.004,0.155,0.464,0.407,0.057,0.381,0.736,0.529,0.137,0.192,0.266,0.074,0.068,0.292
Boston U,0.515,0.606,0.462,193,8.4,2,1.005,103.4,0.975,103.9,0.03,-0.5,65.5,63.5,2,1.041,0.989,0.052,0.405,0.398,0.007,0.361,0.726,0.507,0.082,0.182,0.168,-0.014,0.068,0.28
Bucknell,0.555,0.758,0.7,199,8.3,7.3,1.042,105.8,0.934,99.2,0.108,6.6,70.8,63.4,7.4,1.113,0.982,0.131,0.45,0.392,0.058,0.402,0.786,0.503,0.07,0.166,0.174,0.008,0.058,0.269
Butler,0.591,0.71,0.5,32,20.7,7.5,1.075,112.3,0.964,95.9,0.111,16.4,72.5,65,7.5,1.098,1.042,0.056,0.443,0.429,0.014,0.362,0.728,0.524,0.088,0.165,0.186,0.021,0.029,0.283
BYU,0.654,0.906,1,25,30.6,14.4,1.115,117.5,0.919,94.3,0.196,23.2,82.1,67.7,14.4,1.131,1,0.131,0.455,0.413,0.042,0.365,0.755,0.519,0.111,0.149,0.201,0.052,0.072,0.243
Cincinnati,0.59,0.758,0.667,76,21.9,9.8,1.056,111.1,0.907,91.7,0.149,19.4,69,59.2,9.8,1.051,0.995,0.056,0.436,0.411,0.025,0.339,0.666,0.534,0.116,0.175,0.216,0.041,0.074,0.264
Clemson,0.576,0.677,0.167,52,17.4,7.7,1.012,109.6,0.896,91.5,0.116,18.1,67.6,59.9,7.7,1.07,0.978,0.092,0.439,0.397,0.042,0.343,0.696,0.515,0.118,0.192,0.226,0.034,0.095,0.272
Connecticut,0.627,0.735,0.727,2,22.1,7.1,1.062,115.8,0.959,91.9,0.103,23.9,73.5,66.4,7.1,1.051,0.967,0.084,0.433,0.4,0.033,0.333,0.751,0.528,0.093,0.166,0.172,0.006,0.094,0.231
Duke,0.655,0.875,0.5,18,36.3,16.9,1.123,119.7,0.89,91.3,0.233,28.4,81.4,64.5,16.9,1.147,0.941,0.206,0.468,0.403,0.065,0.376,0.751,0.521,0.104,0.168,0.206,0.038,0.075,0.244
Florida,0.644,0.806,0.667,7,23.3,9.2,1.078,115.8,0.94,95.2,0.138,20.6,71.9,62.7,9.2,1.09,1.003,0.087,0.463,0.428,0.035,0.35,0.668,0.543,0.092,0.185,0.193,0.008,0.064,0.214
Florida St,0.575,0.677,0.286,54,22,7.1,0.971,104.5,0.872,87.7,0.099,16.8,69.3,62.3,7,1.046,0.939,0.107,0.436,0.364,0.072,0.33,0.663,0.532,0.123,0.224,0.216,-0.008,0.102,0.27
Geo Mason,0.608,0.812,0.333,84,19.9,11.8,1.102,114.1,0.924,95.8,0.178,18.3,73.3,61.5,11.8,1.131,0.984,0.147,0.474,0.407,0.067,0.397,0.69,0.516,0.101,0.163,0.199,0.036,0.061,0.258
Georgetown,0.633,0.667,0.714,1,27.6,4.9,1.067,114.2,0.993,96.6,0.074,17.6,71,66.1,4.9,1.15,1.015,0.135,0.478,0.418,0.06,0.36,0.732,0.519,0.092,0.197,0.169,-0.028,0.08,0.28
Georgia,0.579,0.656,0.889,45,15.6,4.5,1.013,108.2,0.946,95.9,0.067,12.3,68.8,64.3,4.5,1.059,0.976,0.083,0.451,0.396,0.055,0.34,0.696,0.534,0.096,0.194,0.176,-0.018,0.089,0.243
Gonzaga,0.57,0.719,0.5,81,20,10.7,1.08,112.1,0.928,95.6,0.152,16.5,75.9,65.2,10.7,1.141,1.009,0.132,0.474,0.4,0.074,0.356,0.759,0.543,0.105,0.193,0.207,0.014,0.066,0.266
Hampton,0.5,0.733,0.636,327,7.9,5,0.957,94.4,0.885,98.7,0.072,-4.3,67.1,62.1,5,0.996,0.935,0.061,0.406,0.379,0.027,0.322,0.641,0.471,0.106,0.172,0.221,0.049,0.1,0.264
Illinois,0.581,0.594,0.222,15,26.7,6.1,1.049,113.3,0.96,93.1,0.089,20.2,71.3,65.2,6.1,1.114,0.991,0.123,0.468,0.401,0.067,0.387,0.729,0.512,0.082,0.184,0.18,-0.004,0.081,0.259
Indiana St,0.552,0.594,0.75,90,9.4,1.1,0.981,102.8,0.965,97.4,0.016,5.4,65.8,64.8,1,1.058,1.022,0.036,0.425,0.404,0.021,0.355,0.713,0.51,0.089,0.206,0.187,-0.019,0.082,0.303
Kansas,0.676,0.939,1,10,33.9,17.3,1.152,118.9,0.91,90.6,0.242,28.3,82.3,65,17.3,1.196,0.979,0.217,0.512,0.397,0.115,0.386,0.681,0.557,0.113,0.187,0.198,0.011,0.072,0.25
Kansas St,0.613,0.677,0.667,9,22.9,6.6,1.027,111.1,0.934,93.6,0.093,17.5,72.7,66.1,6.6,1.057,1.038,0.019,0.435,0.422,0.013,0.374,0.651,0.547,0.088,0.208,0.221,0.013,0.089,0.289
Kentucky,0.638,0.742,0.143,3,29.1,12.4,1.107,117.8,0.928,92,0.179,25.8,76.8,64.4,12.4,1.114,0.962,0.152,0.46,0.39,0.07,0.394,0.714,0.532,0.08,0.156,0.175,0.019,0.11,0.233
AR Lit Rock,0.488,0.515,0.636,213,6.7,-1.3,0.994,101.1,1.013,105.6,-0.019,-4.5,66.3,67.5,-1.2,1.039,1.091,-0.052,0.414,0.443,-0.029,0.397,0.694,0.48,0.085,0.173,0.201,0.028,0.046,0.31
LIU-Brooklyn,0.558,0.844,0.778,234,11.1,8.7,1.075,109.6,0.962,104.2,0.113,5.4,82.6,73.9,8.7,1.107,1.007,0.1,0.466,0.433,0.033,0.366,0.645,0.532,0.096,0.197,0.192,-0.005,0.052,0.225
Louisville,0.626,0.758,0.667,12,25.5,11.2,1.072,111.4,0.914,89.2,0.158,22.2,75.6,64.5,11.1,1.096,0.981,0.115,0.453,0.394,0.059,0.363,0.669,0.504,0.131,0.181,0.226,0.045,0.091,0.272
Marquette,0.569,0.588,0.3,20,21.6,7,1.089,115.5,0.989,97.3,0.1,18.2,76.1,69.1,7,1.103,1.047,0.056,0.468,0.437,0.031,0.352,0.691,0.519,0.103,0.168,0.198,0.03,0.062,0.242
