Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Albany,0.482,0.548,0.167,228,0,2,1.007,102.2,0.977,103.3,0.03,-1.1,65.9,64,1.9,1.073,1.035,0.038,0.439,0.419,0.02,0.362,0.743,0.524,0.083,0.194,0.182,-0.012,0.057,0.265
American,0.524,0.625,0.4,169,2,5.3,1.025,102.8,0.939,98.3,0.086,4.5,63.9,58.6,5.3,1.177,1.001,0.176,0.494,0.411,0.083,0.382,0.71,0.508,0.098,0.223,0.195,-0.028,0.07,0.275
Arizona,0.679,0.909,0.8,23,24.3,15.5,1.09,115.9,0.859,85.8,0.231,30.1,73.1,57.6,15.5,1.09,0.929,0.161,0.468,0.379,0.089,0.354,0.661,0.564,0.087,0.157,0.187,0.03,0.081,0.246
Arizona St,0.584,0.656,0.714,46,8.2,6.2,1.045,110.6,0.959,95.8,0.086,14.8,75,68.9,6.1,1.115,0.985,0.13,0.45,0.415,0.035,0.386,0.694,0.483,0.072,0.16,0.168,0.008,0.095,0.268
Baylor,0.607,0.688,0.667,62,16.9,5.8,1.113,118.3,1.026,98.9,0.087,19.4,74.1,68.2,5.9,1.098,1.027,0.071,0.45,0.425,0.025,0.386,0.671,0.547,0.075,0.179,0.154,-0.025,0.1,0.263
BYU,0.603,0.667,0.571,88,8.9,6.7,1.099,113.9,1.012,100.1,0.087,13.8,84.2,77.5,6.7,1.099,1.055,0.044,0.468,0.43,0.038,0.373,0.688,0.534,0.093,0.15,0.163,0.013,0.048,0.255
Cal Poly,0.475,0.345,0.375,136,-1.6,-2.9,0.995,103,1.042,103.8,-0.047,-0.8,62,64.9,-2.9,0.995,1.085,-0.09,0.402,0.443,-0.041,0.338,0.693,0.481,0.09,0.145,0.175,0.03,0.053,0.303
Cincinnati,0.622,0.818,0.8,78,12.7,10.4,1.049,109,0.89,89.8,0.159,19.2,68.7,58.3,10.4,1.042,0.969,0.073,0.427,0.394,0.033,0.335,0.709,0.53,0.121,0.169,0.218,0.049,0.107,0.266
Coastal Car,0.485,0.6,0.615,326,-0.7,1.5,0.989,97.6,0.968,102.6,0.021,-5,70.5,69,1.5,1.036,1.025,0.011,0.429,0.404,0.025,0.32,0.693,0.526,0.087,0.198,0.18,-0.018,0.049,0.28
Colorado,0.6,0.676,0.818,21,7.1,2.9,1.028,107,0.985,95.8,0.043,11.2,70.9,67.9,3,1.071,1.047,0.024,0.437,0.429,0.008,0.32,0.716,0.545,0.087,0.192,0.179,-0.013,0.06,0.241
Connecticut,0.617,0.788,0.727,49,13.4,9.3,1.058,113,0.922,90.9,0.136,22.1,72.2,62.9,9.3,1.119,0.952,0.167,0.448,0.387,0.061,0.391,0.762,0.504,0.101,0.171,0.191,0.02,0.108,0.266
Creighton,0.64,0.812,0.8,38,16.7,12.7,1.196,123.6,1.007,102,0.189,21.6,80.2,67.5,12.7,1.246,1.027,0.219,0.501,0.423,0.078,0.428,0.751,0.522,0.062,0.149,0.149,0,0.024,0.263
Dayton,0.585,0.697,0.6,89,8.3,5.8,1.082,113.2,0.997,99,0.085,14.2,73.4,67.6,5.8,1.114,1.073,0.041,0.466,0.439,0.027,0.378,0.681,0.531,0.086,0.177,0.186,0.009,0.05,0.295
Delaware,0.565,0.735,0.667,119,2.4,4.4,1.096,111.4,1.036,105.6,0.06,5.8,79.5,75.1,4.4,1.093,1.052,0.041,0.446,0.44,0.006,0.345,0.709,0.484,0.083,0.132,0.164,0.032,0.059,0.26
Duke,0.639,0.781,0.667,16,15.2,12.3,1.175,124.1,0.992,99.9,0.183,24.2,79.2,66.9,12.3,1.155,1.053,0.102,0.463,0.452,0.011,0.39,0.734,0.515,0.105,0.142,0.186,0.044,0.058,0.283
E Kentucky,0.54,0.71,0.667,285,2.3,5.5,1.125,111.7,1.046,107.8,0.079,3.9,77.4,71.9,5.5,1.216,1.192,0.024,0.485,0.489,-0.004,0.386,0.754,0.442,0.116,0.157,0.237,0.08,0.036,0.306
Florida,0.672,0.938,0.857,40,21.6,13.3,1.101,116,0.896,87.4,0.205,28.6,71.5,58.2,13.3,1.116,0.978,0.138,0.463,0.4,0.063,0.367,0.668,0.539,0.109,0.173,0.215,0.042,0.056,0.247
Geo Wshgtn,0.609,0.774,0.75,85,9.1,7.4,1.058,110.2,0.953,96.5,0.105,13.7,74,66.6,7.4,1.098,0.999,0.099,0.465,0.412,0.053,0.368,0.656,0.529,0.101,0.186,0.193,0.007,0.074,0.259
Gonzaga,0.618,0.818,0.714,95,15,11.3,1.113,113.4,0.948,93.3,0.165,20.1,75.8,64.5,11.3,1.17,0.981,0.189,0.49,0.393,0.097,0.387,0.71,0.523,0.098,0.165,0.175,0.01,0.07,0.266
Harvard,0.583,0.862,0.667,165,12,12.1,1.089,112.2,0.909,94.7,0.18,17.5,73.4,61.3,12.1,1.136,1.005,0.131,0.468,0.411,0.057,0.39,0.727,0.523,0.11,0.171,0.209,0.038,0.096,0.265
Iowa,0.567,0.625,0.222,36,10.5,11.9,1.125,119.6,0.962,99.2,0.163,20.4,82,70.1,11.9,1.119,1.021,0.098,0.465,0.414,0.051,0.353,0.733,0.55,0.099,0.156,0.185,0.029,0.086,0.245
Iowa State,0.637,0.781,0.833,10,11.4,9,1.108,118.3,0.988,97.2,0.12,21.1,83.2,74.2,9,1.132,1.019,0.113,0.471,0.415,0.056,0.347,0.692,0.507,0.081,0.14,0.159,0.019,0.048,0.233
Kansas,0.664,0.727,0.429,1,16.8,9.2,1.125,118.7,0.996,94.1,0.129,24.6,79.6,70.2,9.4,1.167,1.028,0.139,0.495,0.416,0.079,0.345,0.711,0.553,0.083,0.186,0.16,-0.026,0.101,0.298
Kansas St,0.579,0.625,0.625,44,9.9,4,1.023,107.2,0.965,93.1,0.058,14.1,69.7,65.7,4,1.046,1.003,0.043,0.436,0.408,0.028,0.334,0.658,0.51,0.091,0.181,0.184,0.003,0.055,0.319
Kentucky,0.618,0.719,0.222,27,10.6,9.5,1.098,117.8,0.962,95.3,0.136,22.5,76.6,67.1,9.5,1.086,0.979,0.107,0.453,0.402,0.051,0.319,0.683,0.567,0.07,0.176,0.159,-0.017,0.108,0.269
LA Lafayette,0.536,0.621,0.556,223,5.4,3.9,1.071,109.7,1.019,104.5,0.052,5.2,80,76.1,3.9,1.104,1.077,0.027,0.458,0.448,0.01,0.374,0.669,0.516,0.093,0.188,0.184,-0.004,0.07,0.284
Louisville,0.613,0.849,0.5,93,30.5,21.5,1.17,118.3,0.865,87.9,0.305,30.4,82.5,61,21.5,1.133,0.96,0.173,0.476,0.392,0.084,0.373,0.657,0.522,0.144,0.147,0.249,0.102,0.087,0.279
Manhattan,0.569,0.781,0.583,149,7.9,7.4,1.043,106.6,0.943,96.4,0.1,10.2,77.4,70,7.4,1.095,1.023,0.072,0.45,0.41,0.04,0.367,0.662,0.51,0.112,0.191,0.212,0.021,0.11,0.325
U Mass,0.615,0.75,0.714,61,6.1,5.3,1.026,109.4,0.954,95.9,0.072,13.5,76.1,70.8,5.3,1.081,0.999,0.082,0.461,0.421,0.04,0.347,0.682,0.521,0.091,0.182,0.182,0,0.092,0.265
Memphis,0.599,0.71,0.6,71,8,6.7,1.054,111.8,0.962,96.5,0.092,15.3,76.8,70.2,6.6,1.095,1.018,0.077,0.475,0.435,0.04,0.336,0.653,0.518,0.118,0.184,0.2,0.016,0.08,0.247
Mercer,0.555,0.742,0.714,310,3.5,9.7,1.101,110.2,0.962,101.8,0.139,8.4,77.2,67.5,9.7,1.15,1.015,0.135,0.467,0.409,0.058,0.39,0.735,0.517,0.087,0.173,0.185,0.012,0.073,0.272
Michigan,0.633,0.774,0.8,3,18.3,10,1.159,123.3,1.005,99.9,0.154,23.4,75.1,65.1,10,1.187,1.053,0.134,0.479,0.442,0.037,0.394,0.764,0.511,0.079,0.143,0.17,0.027,0.045,0.226
Michigan St,0.612,0.75,0.556,9,14.3,10.6,1.105,118,0.951,94.1,0.154,23.9,75.9,65.3,10.6,1.137,1.014,0.123,0.472,0.401,0.071,0.396,0.692,0.537,0.101,0.169,0.182,0.013,0.088,0.273
WI-Milwkee,0.519,0.606,0.625,140,2.1,-0.5,1.004,104.1,1.012,104,-0.008,0.1,70.4,70.9,-0.5,1.09,1.071,0.019,0.429,0.441,-0.012,0.33,0.733,0.488,0.08,0.195,0.181,-0.014,0.043,0.261
Mt St Marys,0.486,0.5,0.6,184,1.5,-1.7,1.051,107.2,1.075,111.2,-0.024,-4,76.2,78,-1.8,1.113,1.134,-0.021,0.441,0.493,-0.052,0.356,0.741,0.468,0.099,0.165,0.183,0.018,0.052,0.259
NC State,0.575,0.636,0.6,43,10.4,1.6,1.049,113.4,1.025,101.8,0.024,11.6,70.9,69.3,1.6,1.053,1.038,0.015,0.458,0.42,0.038,0.307,0.659,0.495,0.07,0.155,0.173,0.018,0.073,0.277
Nebraska,0.582,0.613,0.571,8,16.2,2.1,0.998,108.2,0.966,95.5,0.032,12.7,67,64.9,2.1,1.06,1.033,0.027,0.427,0.42,0.007,0.339,0.719,0.487,0.102,0.167,0.192,0.025,0.058,0.303
New Mexico,0.618,0.812,0.667,81,16.7,8.3,1.097,112.9,0.975,95.7,0.122,17.2,75,66.6,8.4,1.119,0.983,0.136,0.462,0.39,0.072,0.339,0.725,0.538,0.072,0.153,0.147,-0.006,0.088,0.247
N Mex State,0.56,0.727,0.429,218,6.9,8.8,1.102,112.3,0.976,101.7,0.126,10.6,76.6,67.9,8.7,1.144,0.978,0.166,0.485,0.406,0.079,0.36,0.684,0.534,0.068,0.184,0.159,-0.025,0.106,0.246
N Carolina,0.61,0.719,0.556,19,16.2,7.2,1.057,112.1,0.957,93.6,0.1,18.5,76.3,69.1,7.2,1.051,1.008,0.043,0.463,0.411,0.052,0.335,0.625,0.531,0.101,0.167,0.188,0.021,0.084,0.281
NC Central,0.536,0.833,0.667,340,14,13.1,1.075,108.1,0.88,100.1,0.195,8,72.3,59.2,13.1,1.105,0.973,0.132,0.456,0.379,0.077,0.32,0.723,0.516,0.116,0.167,0.236,0.069,0.079,0.298
N Dakota St,0.598,0.786,0.75,198,10.2,7.3,1.145,114.9,1.033,103.1,0.112,11.8,74.8,67.5,7.3,1.181,1.096,0.085,0.503,0.436,0.067,0.349,0.754,0.528,0.094,0.152,0.171,0.019,0.083,0.28
Ohio State,0.616,0.758,0.625,28,13.7,10.4,1.035,108.6,0.881,87.3,0.154,21.3,69.8,59.4,10.4,1.079,0.967,0.112,0.447,0.402,0.045,0.324,0.689,0.503,0.112,0.172,0.219,0.047,0.081,0.244
Oklahoma,0.61,0.719,0.667,24,15.2,6.3,1.109,117.3,1.024,99.4,0.085,17.9,82.2,75.9,6.3,1.127,1.066,0.061,0.451,0.435,0.016,0.379,0.75,0.51,0.092,0.155,0.173,0.018,0.055,0.256
Oklahoma St,0.584,0.636,0.3,35,14.6,11.2,1.112,115.4,0.957,94.4,0.155,21,80.3,69.1,11.2,1.144,1.005,0.139,0.465,0.407,0.058,0.368,0.724,0.486,0.105,0.144,0.196,0.052,0.083,0.271
Oregon,0.608,0.719,0.375,41,13.9,7.8,1.118,118.3,1.011,99.3,0.107,19,81.8,74,7.8,1.161,1.08,0.081,0.468,0.442,0.026,0.391,0.766,0.51,0.108,0.159,0.188,0.029,0.06,0.29
Pittsburgh,0.592,0.758,0.5,54,12.1,10.5,1.113,116.3,0.954,94.4,0.159,21.9,73.2,62.7,10.5,1.11,1.017,0.093,0.464,0.411,0.053,0.361,0.712,0.549,0.107,0.162,0.187,0.025,0.058,0.267
