,Year,Team,effective-field-goal-pct,ftm-per-100-possessions,offensive-rebounding-pct,defensive-rebounding-pct,assists-per-fgm,effective-possession-ratio,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
19,2008,georgia,0.48,18.094,0.36,0.69,0.467,0.958,0.533,0.484,0.571,46,10.5,0.6,0.982,104.3,0.972,96.2,0.01,8.1,67.9,67.3,0.6,1.018,1.015,0.003,0.426,0.427,-0.001,0.326,0.672,0.527,0.096,0.212,0.184,-0.028,0.059,0.261
20,2008,gonzaga,0.55,22.267,0.34,0.73,0.537,0.938,0.594,0.781,0.7,102,24.5,13.2,1.081,114.5,0.894,95.5,0.187,19,76.5,63.2,13.3,1.152,0.966,0.186,0.484,0.393,0.091,0.371,0.715,0.537,0.106,0.199,0.206,0.007,0.084,0.249
21,2008,indiana,0.52,25.296,0.35,0.73,0.52,0.955,0.603,0.781,0.636,59,26.4,10.4,1.086,114.6,0.935,96.1,0.151,18.5,75.1,64.7,10.4,1.142,0.989,0.153,0.463,0.409,0.054,0.346,0.763,0.548,0.102,0.196,0.191,-0.005,0.067,0.249
22,2008,kansas,0.57,21.079,0.36,0.73,0.611,0.963,0.646,0.906,0.6,44,31.8,19.8,1.146,120.9,0.866,85.7,0.28,35.2,81.1,61.3,19.8,1.177,0.96,0.217,0.505,0.382,0.123,0.389,0.708,0.555,0.13,0.183,0.224,0.041,0.11,0.247
23,2008,kansas st,0.50,21.935,0.41,0.71,0.554,0.991,0.577,0.633,0.5,40,15,9.8,1.059,114.2,0.927,95.3,0.132,18.9,78.8,69,9.8,1.064,1.023,0.041,0.444,0.422,0.022,0.324,0.695,0.553,0.103,0.202,0.219,0.017,0.063,0.27
24,2008,kent state,0.52,22.607,0.34,0.67,0.578,0.922,0.605,0.824,0.727,129,17.3,7.6,1.033,107.8,0.919,94.8,0.114,13,69.2,61.6,7.6,1.122,0.999,0.123,0.467,0.409,0.058,0.368,0.714,0.511,0.127,0.215,0.238,0.023,0.075,0.28
25,2008,kentucky,0.53,22.501,0.31,0.69,0.537,0.9,0.567,0.6,0.6,51,13.4,3.3,1.01,107.8,0.962,97.8,0.048,10,68.6,65.3,3.3,1.133,0.995,0.138,0.469,0.394,0.075,0.368,0.734,0.514,0.099,0.229,0.191,-0.038,0.088,0.276
26,2008,louisville,0.53,19.204,0.32,0.71,0.582,0.954,0.622,0.75,0.444,33,18.9,10.6,1.048,113.1,0.894,87.7,0.154,25.4,71.9,61.3,10.6,1.09,0.952,0.138,0.453,0.383,0.07,0.342,0.655,0.52,0.118,0.193,0.206,0.013,0.088,0.265
27,2008,marquette,0.51,22.253,0.37,0.69,0.564,0.986,0.606,0.719,0.4,42,27.7,11.6,1.068,115.3,0.905,93.1,0.163,22.2,75.9,64.3,11.6,1.084,1,0.084,0.447,0.413,0.034,0.359,0.701,0.521,0.133,0.182,0.233,0.051,0.071,0.295
28,2008,memphis,0.53,21.155,0.38,0.73,0.557,1.015,0.664,0.971,0.667,93,26.7,19.1,1.103,118,0.839,86.5,0.264,31.5,79.7,60.6,19.1,1.09,0.927,0.163,0.466,0.383,0.083,0.35,0.596,0.543,0.121,0.167,0.221,0.054,0.108,0.241
29,2008,miami (fl),0.49,24.152,0.35,0.68,0.511,0.974,0.587,0.677,0.667,74,21.3,5.8,1.048,112.5,0.966,97.1,0.082,15.4,73.8,68,5.8,1.078,1.007,0.071,0.434,0.41,0.024,0.378,0.748,0.51,0.082,0.186,0.198,0.012,0.079,0.265
30,2008,michigan st,0.53,20.479,0.38,0.71,0.665,0.959,0.615,0.758,0.714,34,22.7,9.3,1.08,115.8,0.939,94.7,0.141,21.1,71.3,62,9.3,1.118,0.982,0.136,0.48,0.401,0.079,0.373,0.731,0.553,0.092,0.201,0.182,-0.019,0.08,0.275
31,2008,miss state,0.52,19.827,0.33,0.71,0.506,0.942,0.581,0.688,0.375,66,14.9,8,1.017,108.2,0.905,91.5,0.112,16.7,73.1,65.1,8,1.093,0.917,0.176,0.461,0.368,0.093,0.334,0.644,0.529,0.083,0.209,0.174,-0.035,0.126,0.23
32,2008,miss val st,0.43,21.215,0.31,0.67,0.52,0.945,0.463,0.5,0.615,335,-7.7,-4.6,0.909,91.9,0.978,107.1,-0.069,-15.2,61,65.6,-4.6,0.974,1.052,-0.078,0.399,0.447,-0.048,0.352,0.672,0.483,0.085,0.206,0.22,0.014,0.05,0.26
