Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Alabama,0.588,0.656,0.4,26,14.2,6.8,0.999,103.4,0.894,86.7,0.105,16.7,64.9,58.1,6.8,1.058,0.946,0.112,0.452,0.388,0.064,0.285,0.715,0.52,0.112,0.198,0.204,0.006,0.08,0.283
Baylor,0.637,0.812,0.636,36,18.9,9.8,1.08,113.4,0.938,91.1,0.142,22.3,74.2,64.5,9.7,1.136,0.999,0.137,0.468,0.413,0.055,0.38,0.753,0.529,0.112,0.202,0.212,0.01,0.084,0.253
Belmont,0.573,0.788,1,172,19.8,13.9,1.155,114.3,0.958,97.4,0.197,16.9,81.4,67.5,13.9,1.183,1.017,0.166,0.481,0.426,0.055,0.381,0.736,0.521,0.104,0.169,0.2,0.031,0.04,0.258
BYU,0.58,0.742,0.333,175,10.2,10.8,1.056,103.6,0.911,90.8,0.145,12.8,78.4,67.6,10.8,1.111,1.015,0.096,0.466,0.418,0.048,0.348,0.709,0.523,0.112,0.172,0.207,0.035,0.073,0.248
California,0.586,0.727,0.455,87,14.5,9.9,1.062,108.5,0.916,92.2,0.146,16.3,71.7,61.8,9.9,1.116,0.982,0.134,0.479,0.412,0.067,0.366,0.746,0.534,0.071,0.179,0.189,0.01,0.056,0.213
Cincinnati,0.582,0.727,0.667,62,19,7.7,1.04,106.9,0.924,90.9,0.116,16,69.2,61.5,7.7,1.012,0.977,0.035,0.421,0.414,0.007,0.345,0.647,0.503,0.122,0.156,0.208,0.052,0.08,0.228
Colorado,0.567,0.645,0.143,109,8.5,2.7,0.996,102.1,0.955,93.3,0.041,8.8,66.7,64,2.7,1.069,1.003,0.066,0.441,0.414,0.027,0.34,0.688,0.511,0.088,0.186,0.182,-0.004,0.06,0.256
Colorado St,0.6,0.645,0.6,58,13.8,2.7,1.07,109.1,1.03,101,0.04,8.1,71,68.4,2.6,1.163,1.086,0.077,0.476,0.436,0.04,0.405,0.769,0.508,0.081,0.184,0.179,-0.005,0.036,0.283
Connecticut,0.594,0.606,0.462,9,15.1,4.7,1.036,108.6,0.965,94.1,0.071,14.5,68.8,64.1,4.7,1.059,0.955,0.104,0.454,0.383,0.071,0.331,0.661,0.522,0.088,0.185,0.159,-0.026,0.115,0.215
Creighton,0.608,0.849,0.6,98,11,10.5,1.159,116.6,1.007,100.1,0.152,16.5,80,69.5,10.5,1.226,1.041,0.185,0.509,0.438,0.071,0.425,0.733,0.547,0.069,0.176,0.148,-0.028,0.039,0.247
Davidson,0.571,0.774,0.4,194,11.8,9.5,1.094,109.4,0.96,98.7,0.134,10.7,77.4,67.9,9.5,1.114,1.022,0.092,0.448,0.427,0.021,0.34,0.769,0.544,0.077,0.167,0.171,0.004,0.062,0.282
Detroit,0.525,0.606,0.4,202,10.5,2.9,1.037,105.4,0.994,99.9,0.043,5.5,70.9,67.9,3,1.072,1.091,-0.019,0.444,0.445,-0.001,0.295,0.741,0.509,0.107,0.183,0.217,0.034,0.085,0.282
Duke,0.657,0.844,0.556,1,17.1,9.4,1.114,114.9,0.98,95.2,0.134,19.7,78.1,68.7,9.4,1.138,1.01,0.128,0.46,0.433,0.027,0.38,0.697,0.519,0.089,0.17,0.182,0.012,0.067,0.26
