Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
N Iowa,0.565,0.636,0.727,96,11.5,4.6,1.04,108.5,0.968,97.3,0.072,11.2,67.5,62.9,4.6,1.136,1.028,0.108,0.454,0.423,0.031,0.372,0.754,0.465,0.089,0.147,0.182,0.035,0.048,0.234
Notre Dame,0.59,0.656,0.6,15,10.9,5.1,1.126,119.5,1.05,102.9,0.076,16.6,75.7,70.6,5.1,1.135,1.045,0.09,0.471,0.428,0.043,0.369,0.735,0.514,0.083,0.144,0.144,0,0.066,0.213
Oklahoma,0.644,0.781,0.615,4,16.2,10,1.091,116.8,0.956,93,0.135,23.8,80.4,70.4,10,1.151,0.986,0.165,0.459,0.405,0.054,0.426,0.728,0.516,0.094,0.175,0.172,-0.003,0.083,0.261
Oregon,0.657,0.812,0.5,57,14.3,8.5,1.094,117.9,0.975,95.3,0.119,22.6,78.2,69.8,8.4,1.117,1.045,0.072,0.462,0.429,0.033,0.345,0.718,0.517,0.104,0.16,0.198,0.038,0.101,0.226
Oregon St,0.59,0.6,1,38,10.2,1.4,1.025,109.6,1.005,97.9,0.02,11.7,72,70.6,1.4,1.063,1.061,0.002,0.439,0.43,0.009,0.373,0.681,0.485,0.104,0.163,0.19,0.027,0.058,0.281
Pittsburgh,0.579,0.645,0.625,53,12.3,7.1,1.104,113.8,1.001,97.2,0.103,16.6,75.8,68.7,7.1,1.111,1.061,0.05,0.459,0.443,0.016,0.351,0.758,0.551,0.073,0.17,0.168,-0.002,0.062,0.239
Providence,0.587,0.697,0.8,41,10.1,4.2,1.019,108.9,0.961,94.4,0.058,14.5,74,69.7,4.3,1.049,1.039,0.01,0.422,0.435,-0.013,0.321,0.727,0.498,0.091,0.161,0.201,0.04,0.061,0.249
Purdue,0.616,0.781,0.6,48,18.5,13.6,1.117,115.8,0.924,92,0.193,23.8,78.3,64.7,13.6,1.148,0.956,0.192,0.473,0.391,0.082,0.373,0.739,0.578,0.061,0.171,0.133,-0.038,0.079,0.219
St Josephs,0.599,0.781,0.857,85,12.6,7.7,1.07,113.1,0.964,97.7,0.106,15.4,77.2,69.5,7.7,1.09,1.008,0.082,0.45,0.413,0.037,0.326,0.714,0.52,0.071,0.138,0.159,0.021,0.056,0.245
Seton Hall,0.602,0.75,0.667,50,14.8,7.2,1.031,110,0.932,91.7,0.099,18.3,75,67.8,7.2,1.068,0.976,0.092,0.449,0.4,0.049,0.354,0.67,0.528,0.099,0.19,0.188,-0.002,0.078,0.26
