Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Ark Pine Bl,0.474,0.531,0.583,127,7.5,-0.3,0.916,93.1,0.92,99.5,-0.004,-6.4,64.4,64.7,-0.3,0.994,1.014,-0.02,0.411,0.407,0.004,0.304,0.663,0.547,0.097,0.239,0.197,-0.042,0.068,0.324
Baylor,0.631,0.774,0.778,17,20.1,10.2,1.101,119.2,0.955,94.3,0.146,24.9,76.7,66.5,10.2,1.16,0.967,0.193,0.484,0.389,0.095,0.386,0.733,0.542,0.092,0.201,0.204,0.003,0.117,0.259
Butler,0.625,0.875,0.875,66,20.5,10.1,1.067,111,0.913,88.5,0.154,22.5,70.1,60,10.1,1.139,1.003,0.136,0.453,0.414,0.039,0.342,0.748,0.53,0.104,0.185,0.204,0.019,0.048,0.281
BYU,0.606,0.849,0.5,103,23.7,16.9,1.134,117.3,0.902,94,0.232,23.3,82.6,65.7,16.9,1.187,0.999,0.188,0.482,0.41,0.072,0.416,0.786,0.532,0.117,0.154,0.213,0.059,0.062,0.238
California,0.612,0.697,0.429,54,25.8,9.6,1.117,119.6,0.98,97.4,0.137,22.2,78,68.4,9.6,1.143,1.036,0.107,0.477,0.434,0.043,0.373,0.757,0.53,0.081,0.17,0.181,0.011,0.044,0.243
Clemson,0.599,0.677,0.5,23,25.7,9.5,1.024,110.9,0.894,91.6,0.13,19.3,73.3,63.8,9.5,1.072,0.993,0.079,0.453,0.419,0.034,0.336,0.659,0.513,0.135,0.205,0.241,0.036,0.088,0.245
Cornell,0.577,0.862,0.857,124,15.3,10.6,1.119,117.4,0.961,101.5,0.158,15.9,75.2,64.6,10.6,1.179,1.04,0.139,0.477,0.421,0.056,0.438,0.732,0.515,0.106,0.181,0.199,0.018,0.07,0.272
Duke,0.655,0.849,0.5,2,35.1,16.6,1.13,121,0.89,87.7,0.24,33.3,78.4,61.7,16.7,1.101,0.953,0.148,0.443,0.402,0.041,0.385,0.759,0.541,0.1,0.156,0.209,0.053,0.077,0.267
E Tenn St,0.516,0.576,0.455,165,9.2,2.6,0.981,100.9,0.943,98.4,0.038,2.5,69,66.4,2.6,1.028,1.03,-0.002,0.434,0.415,0.019,0.314,0.662,0.506,0.118,0.206,0.231,0.025,0.059,0.27
Florida,0.583,0.636,0.545,33,21.2,6.2,1.047,113,0.956,97.8,0.091,15.2,71.6,65.4,6.2,1.056,1.014,0.042,0.444,0.429,0.015,0.313,0.702,0.518,0.105,0.177,0.198,0.021,0.048,0.211
Florida St,0.593,0.71,0.8,22,21.9,8.3,0.985,105,0.865,87,0.12,18,68.5,60.2,8.3,1.071,0.94,0.131,0.455,0.374,0.081,0.336,0.646,0.539,0.121,0.241,0.226,-0.015,0.115,0.256
Georgetown,0.639,0.697,0.25,4,23,8.1,1.081,116.8,0.961,94.2,0.12,22.6,73.2,65.1,8.1,1.171,1.012,0.159,0.498,0.412,0.086,0.388,0.712,0.518,0.104,0.199,0.189,-0.01,0.085,0.249
GA Tech,0.598,0.656,0.667,6,22,6.8,1.003,109.2,0.91,91,0.093,18.2,72.9,66.1,6.8,1.064,0.947,0.117,0.455,0.383,0.072,0.366,0.639,0.528,0.109,0.224,0.203,-0.021,0.092,0.256
Gonzaga,0.595,0.806,0.625,80,21.5,9.6,1.085,112.3,0.95,96.1,0.135,16.2,77.5,67.9,9.6,1.148,0.99,0.158,0.493,0.41,0.083,0.365,0.666,0.533,0.09,0.179,0.175,-0.004,0.07,0.253
Houston,0.533,0.545,0.286,108,15.8,3.7,1.072,112,1.021,103.2,0.051,8.8,78.8,75.1,3.7,1.035,1.1,-0.065,0.418,0.463,-0.045,0.356,0.71,0.446,0.129,0.118,0.228,0.11,0.051,0.253
Kansas,0.683,0.941,1,42,35,18,1.145,120.4,0.893,88.5,0.252,31.9,81.8,63.8,18,1.164,0.933,0.231,0.488,0.377,0.111,0.409,0.701,0.546,0.118,0.18,0.194,0.014,0.108,0.255
Kansas St,0.652,0.781,0.5,9,25.7,10.2,1.074,116.1,0.935,90.6,0.139,25.5,79.5,69.2,10.3,1.088,1.033,0.055,0.448,0.419,0.029,0.356,0.665,0.538,0.101,0.193,0.228,0.035,0.088,0.302
