Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Duke,0.668,0.818,0.8,2,29.2,12.5,1.093,117.5,0.918,93.2,0.175,24.3,78,65.5,12.5,1.1,1.008,0.092,0.449,0.429,0.02,0.344,0.723,0.524,0.12,0.173,0.231,0.058,0.073,0.213
Pittsburgh,0.667,0.871,0,5,27.9,13.5,1.142,121.2,0.943,92.3,0.199,28.9,77.7,64.2,13.5,1.114,1.005,0.109,0.481,0.414,0.067,0.358,0.673,0.571,0.103,0.167,0.184,0.017,0.068,0.255
N Carolina,0.653,0.871,0.5,4,35.9,16.5,1.151,123.2,0.939,92.1,0.212,31.1,89.4,72.9,16.5,1.142,1.001,0.141,0.475,0.415,0.06,0.373,0.766,0.548,0.107,0.167,0.2,0.033,0.081,0.215
Oklahoma,0.646,0.844,0.75,14,25.1,11.4,1.115,118.3,0.954,93.7,0.161,24.6,79.2,67.8,11.4,1.159,0.981,0.178,0.488,0.398,0.09,0.356,0.68,0.539,0.098,0.19,0.176,-0.014,0.074,0.218
Louisville,0.646,0.849,0.8,7,25.7,12.3,1.051,111.2,0.876,85.2,0.175,26,73.9,61.6,12.3,1.08,0.952,0.128,0.451,0.394,0.057,0.36,0.644,0.517,0.13,0.186,0.226,0.04,0.11,0.226
Michigan St,0.645,0.812,0.75,15,20.6,9,1.056,114.3,0.924,89.9,0.132,24.4,71.9,62.9,9,1.076,1.026,0.05,0.455,0.414,0.041,0.353,0.687,0.573,0.094,0.203,0.198,-0.005,0.054,0.261
Memphis,0.644,0.912,0.667,31,22.8,17.2,1.062,112.8,0.816,84.2,0.246,28.6,74.1,56.9,17.2,1.062,0.897,0.165,0.443,0.362,0.081,0.32,0.696,0.542,0.127,0.176,0.218,0.042,0.113,0.249
Connecticut,0.643,0.871,1,3,27.2,13.4,1.087,116,0.899,86.8,0.188,29.2,77.3,64,13.3,1.093,0.904,0.189,0.47,0.377,0.093,0.347,0.676,0.557,0.082,0.177,0.162,-0.015,0.123,0.265
Utah,0.632,0.75,0.571,51,17.7,7.5,1.061,110.8,0.948,92.9,0.113,17.9,71,63.5,7.5,1.187,0.984,0.203,0.477,0.4,0.077,0.376,0.787,0.536,0.075,0.2,0.155,-0.045,0.09,0.235
Missouri,0.631,0.818,0.6,24,27.9,13.6,1.092,116.6,0.907,91.8,0.185,24.8,80.3,66.8,13.5,1.104,1.003,0.101,0.47,0.418,0.052,0.357,0.662,0.496,0.14,0.164,0.251,0.087,0.069,0.259
Kansas,0.63,0.781,0.333,13,23.2,11.3,1.085,114.5,0.926,90.7,0.159,23.8,77.1,65.8,11.3,1.148,0.982,0.166,0.48,0.388,0.092,0.378,0.73,0.551,0.098,0.208,0.189,-0.019,0.078,0.213
Syracuse,0.625,0.735,0.714,6,21.1,8.1,1.079,117,0.972,94.8,0.107,22.2,81,72.9,8.1,1.13,0.981,0.149,0.487,0.413,0.074,0.354,0.64,0.513,0.099,0.192,0.183,-0.009,0.077,0.247
