First,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Loyola Chicago,0.5952,0.844,0.5,110,11.9,9.7,1.071,111.3,0.927,96.2,0.144,15.1,71.7,62,9.7,1.206,1.003,0.203,0.506,0.413,0.093,0.4,0.725,0.509,0.099,0.185,0.197,0.012,0.043,0.209
Loser,Miami,0.5956,0.71,0.889,42,11,6.1,1.057,113.3,0.969,97.6,0.088,15.7,74.2,68,6.2,1.102,1.04,0.062,0.464,0.43,0.034,0.363,0.663,0.505,0.093,0.161,0.185,0.024,0.069,0.232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Tennessee,0.6292,0.781,0.667,8,13.4,7.8,1.065,114.8,0.953,92.7,0.112,22.1,74.2,66.4,7.8,1.1,1.022,0.078,0.439,0.41,0.029,0.384,0.756,0.513,0.09,0.175,0.2,0.025,0.082,0.281
Loser,Wright State,0.5386,0.719,0.636,201,2.5,5.2,0.997,101.1,0.925,98.3,0.072,2.8,71.3,66.2,5.1,1.058,1.032,0.026,0.431,0.413,0.018,0.34,0.719,0.518,0.092,0.183,0.207,0.024,0.041,0.224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Nevada,0.6124,0.794,0.429,78,9.9,10.2,1.14,119.9,1,101.7,0.14,18.2,83.1,72.9,10.2,1.168,1.048,0.12,0.468,0.43,0.038,0.398,0.747,0.499,0.086,0.136,0.178,0.042,0.067,0.237
Loser,Texas,0.5701,0.576,0.538,7,11.4,3.5,1.016,109.4,0.966,93.9,0.05,15.5,71.7,68.2,3.5,1.052,1.019,0.033,0.438,0.422,0.016,0.315,0.668,0.499,0.088,0.167,0.179,0.012,0.083,0.228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Cincinnati,0.6315,0.879,0.6,44,19.2,17.3,1.09,113.2,0.837,86.2,0.253,27,74.5,57.1,17.4,1.093,0.924,0.169,0.453,0.37,0.083,0.357,0.687,0.553,0.107,0.168,0.217,0.049,0.101,0.23
Loser,Georgia State,0.5197,0.677,0.375,166,6.6,6.7,1.061,109,0.966,101.8,0.095,7.2,74.7,67.8,6.9,1.128,1.025,0.103,0.46,0.393,0.067,0.391,0.683,0.475,0.102,0.164,0.203,0.039,0.08,0.265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Kansas State,0.569,0.667,0.778,29,12.9,4.5,1.061,112.2,0.995,97.4,0.066,14.8,72.4,67.9,4.5,1.138,1.074,0.064,0.472,0.429,0.043,0.344,0.742,0.476,0.114,0.168,0.21,0.042,0.056,0.27
Loser,Maryland-BC,0.5253,0.677,0.857,253,0.8,1.5,1.027,103.4,1.006,105.3,0.021,-1.9,72.5,71,1.5,1.085,1.092,-0.007,0.438,0.447,-0.009,0.382,0.65,0.479,0.105,0.165,0.203,0.038,0.045,0.234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Kentucky,0.6153,0.697,0.667,13,19.6,6.4,1.074,116.4,0.983,96,0.091,20.4,76.7,70.3,6.4,1.107,1.006,0.101,0.47,0.406,0.064,0.361,0.697,0.533,0.079,0.182,0.167,-0.015,0.081,0.264
Loser,Buffalo,0.5959,0.758,0.625,117,9.7,8.2,1.108,114.3,1.001,103.8,0.107,10.5,84.7,76.5,8.2,1.143,1.064,0.079,0.474,0.428,0.046,0.372,0.696,0.517,0.081,0.162,0.178,0.016,0.072,0.277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Loyola Chicago,0.5952,0.844,0.5,110,11.9,9.7,1.071,111.3,0.927,96.2,0.144,15.1,71.7,62,9.7,1.206,1.003,0.203,0.506,0.413,0.093,0.4,0.725,0.509,0.099,0.185,0.197,0.012,0.043,0.209
