Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Kansas St,0.57,0.606,0.455,43,10.4,4.8,1.036,113,0.967,95.6,0.069,17.4,71.7,66.9,4.8,1.113,1.05,0.063,0.458,0.425,0.033,0.361,0.689,0.491,0.112,0.189,0.22,0.031,0.068,0.261
Xavier,0.593,0.618,0.667,16,6.7,3.3,1.062,115.8,1.015,99.1,0.047,16.7,74.6,71.4,3.2,1.1,1.097,0.003,0.454,0.452,0.002,0.34,0.688,0.548,0.086,0.182,0.174,-0.008,0.047,0.266
Marquette,0.566,0.613,0.375,59,12.9,7.5,1.139,120.8,1.035,104.2,0.104,16.6,82.5,75,7.5,1.215,1.101,0.114,0.487,0.456,0.031,0.43,0.779,0.497,0.1,0.168,0.182,0.014,0.061,0.267
Vanderbilt,0.592,0.576,0.444,1,19.3,3.6,1.038,112.4,0.993,95.9,0.045,16.5,71.3,68.1,3.2,1.135,1.023,0.112,0.431,0.421,0.01,0.377,0.776,0.502,0.061,0.179,0.157,-0.022,0.066,0.242
Wake Forest,0.588,0.594,0.5,21,14.8,4.8,1.128,120.9,1.063,104.6,0.065,16.3,82.7,77.9,4.8,1.168,1.115,0.053,0.472,0.452,0.02,0.387,0.772,0.522,0.076,0.161,0.158,-0.003,0.062,0.276
Arkansas,0.604,0.75,0.857,58,12.4,6.2,1.089,116.1,1.009,99.8,0.08,16.3,79.8,74,5.8,1.124,1.044,0.08,0.462,0.421,0.041,0.368,0.762,0.503,0.105,0.159,0.177,0.018,0.079,0.28
Rhode Island,0.593,0.71,0.444,51,11.6,8,1.057,111.5,0.935,95.2,0.122,16.3,73.4,64.9,8.5,1.066,1.008,0.058,0.453,0.408,0.045,0.338,0.655,0.522,0.093,0.166,0.193,0.027,0.11,0.298
Minnesota,0.612,0.75,0.625,17,15.4,6.6,1.012,109.7,0.928,93.7,0.084,16,75.3,69.1,6.2,1.054,0.953,0.101,0.435,0.394,0.041,0.345,0.707,0.506,0.077,0.157,0.173,0.016,0.106,0.229
Northwestern,0.579,0.697,0.5,64,10,7.1,1.039,111.3,0.951,95.5,0.088,15.8,71.1,65.1,6,1.074,0.985,0.089,0.436,0.401,0.035,0.341,0.751,0.508,0.077,0.153,0.175,0.022,0.086,0.28
Dayton,0.601,0.767,0.556,71,11.8,9.2,1.065,111.9,0.936,96.3,0.129,15.6,76.5,66.5,10,1.147,1.031,0.116,0.47,0.413,0.057,0.387,0.689,0.501,0.103,0.167,0.203,0.036,0.068,0.266
Michigan St,0.578,0.576,0.444,10,12.3,3.4,1.03,111.4,0.981,95.9,0.049,15.5,71.7,68.4,3.3,1.122,1.012,0.11,0.468,0.407,0.061,0.376,0.664,0.526,0.062,0.203,0.158,-0.045,0.08,0.287
Miami (FL),0.587,0.656,0.571,41,14.3,5.7,1.036,109.9,0.951,94.8,0.085,15.1,69.4,63.7,5.7,1.092,1.016,0.076,0.453,0.414,0.039,0.359,0.718,0.534,0.097,0.19,0.177,-0.013,0.069,0.232
Middle Tenn,0.596,0.875,0.714,167,11.1,10.9,1.098,112.2,0.937,97.3,0.161,14.9,75,63.3,11.7,1.132,1.033,0.099,0.49,0.418,0.072,0.368,0.698,0.535,0.101,0.154,0.199,0.045,0.053,0.271
Maryland,0.597,0.742,0.75,26,9,5,1.051,113.1,0.98,98.8,0.071,14.3,74.2,67.8,6.4,1.118,1.014,0.104,0.451,0.416,0.035,0.363,0.698,0.5,0.075,0.186,0.175,-0.011,0.079,0.266
VCU,0.614,0.781,0.714,56,10.7,8.7,1.043,110.1,0.928,96,0.115,14.1,74.7,66.4,8.3,1.1,1.02,0.08,0.467,0.417,0.05,0.336,0.705,0.516,0.105,0.178,0.211,0.033,0.073,0.29
VA Tech,0.582,0.688,0.667,75,14.1,4.8,1.106,117.4,1.038,103.6,0.068,13.8,79.3,74.4,4.9,1.206,1.072,0.134,0.49,0.445,0.045,0.403,0.734,0.485,0.056,0.169,0.164,-0.005,0.045,0.23
Seton Hall,0.586,0.656,0.583,52,11.6,3.1,1.029,109.5,0.985,95.8,0.044,13.7,73.3,70.2,3.1,1.058,1.058,0,0.45,0.432,0.018,0.338,0.643,0.546,0.097,0.19,0.172,-0.018,0.044,0.26
USC,0.587,0.727,0.7,76,9.1,5.5,1.084,114.2,1.008,100.7,0.076,13.5,78.7,73.2,5.5,1.116,1.046,0.07,0.454,0.431,0.023,0.363,0.739,0.503,0.098,0.153,0.177,0.024,0.085,0.221
Nevada,0.601,0.818,0.667,144,14.5,9.1,1.102,114.7,0.977,101.3,0.125,13.4,80,70.9,9.1,1.125,1.018,0.107,0.45,0.426,0.024,0.385,0.703,0.525,0.074,0.154,0.158,0.004,0.071,0.229
Princeton,0.579,0.769,1,165,12.2,8.7,1.07,109.1,0.937,96.4,0.133,12.7,72.1,61.5,10.6,1.125,1.049,0.076,0.451,0.427,0.024,0.381,0.735,0.494,0.1,0.152,0.206,0.054,0.062,0.245
Providence,0.57,0.625,0.556,49,14,3.6,1.013,108.5,0.96,96.1,0.053,12.4,70.3,66.6,3.7,1.091,1.047,0.044,0.447,0.441,0.006,0.368,0.691,0.493,0.096,0.182,0.201,0.019,0.053,0.249
NC-Wilmgton,0.602,0.844,0.625,145,8.4,9,1.154,118,1.029,105.6,0.125,12.4,85.2,74.9,10.3,1.148,1.13,0.018,0.482,0.482,0,0.366,0.692,0.507,0.089,0.136,0.199,0.063,0.059,0.277
Vermont,0.584,0.844,0.667,222,11.2,10.8,1.103,111,0.944,99.4,0.159,11.6,73.6,61.6,12,1.167,1.027,0.14,0.496,0.431,0.065,0.369,0.702,0.528,0.084,0.17,0.195,0.025,0.08,0.242
E Tenn St,0.571,0.781,0.571,209,7.3,10.2,1.076,108,0.939,96.9,0.137,11.1,79.9,69.4,10.5,1.182,1.054,0.128,0.491,0.415,0.076,0.383,0.704,0.526,0.117,0.202,0.217,0.015,0.085,0.275
Bucknell,0.564,0.765,0.571,213,7.9,8.8,1.062,109.7,0.94,100.3,0.122,9.4,76.1,67.4,8.7,1.157,1.016,0.141,0.481,0.425,0.056,0.377,0.679,0.508,0.1,0.185,0.194,0.009,0.066,0.261
N Mex St,0.568,0.828,0.75,291,1.3,9.3,1.091,110.5,0.959,102.6,0.132,7.9,78.9,67.2,11.7,1.129,1.019,0.11,0.468,0.425,0.043,0.337,0.712,0.544,0.069,0.191,0.188,-0.003,0.06,0.261
Fla Gulf Cst,0.543,0.767,0.667,269,4.1,6.1,1.094,109.4,1.007,104.3,0.087,5.1,79.4,68.8,10.6,1.135,1.048,0.087,0.502,0.431,0.071,0.35,0.702,0.534,0.075,0.177,0.169,-0.008,0.057,0.271
Winthrop,0.556,0.8,0.6,267,5.3,8.1,1.064,106.1,0.955,101.6,0.109,4.5,79.3,71.2,8.1,1.143,1.011,0.132,0.454,0.408,0.046,0.38,0.716,0.502,0.082,0.176,0.183,0.007,0.086,0.251
Iona,0.541,0.647,0.8,174,1.8,4.1,1.08,110.8,1.025,106.6,0.055,4.2,80.5,76.4,4.1,1.14,1.057,0.083,0.455,0.432,0.023,0.397,0.77,0.484,0.092,0.162,0.177,0.015,0.049,0.257
Troy,0.5086,0.562,0.385,235,5.2,3.3,1.067,109.7,1.016,107.7,0.051,2,78.4,71.7,6.7,1.125,1.075,0.05,0.461,0.435,0.026,0.369,0.72,0.509,0.081,0.175,0.169,-0.006,0.057,0.249
N Kentucky,0.543,0.688,0.857,225,0.1,3,1.046,106.8,1.004,104.9,0.042,1.9,76.1,71.4,4.7,1.113,1.057,0.056,0.459,0.442,0.017,0.353,0.676,0.527,0.078,0.186,0.166,-0.02,0.044,0.249
Kent State,0.515,0.606,0.533,224,2.4,3,1.035,104.9,0.993,103.2,0.042,1.7,76.9,72.3,4.6,1.032,1.06,-0.028,0.428,0.432,-0.004,0.318,0.719,0.538,0.084,0.18,0.189,0.009,0.06,0.262
Jacksonville St,0.509,0.562,0.4,244,2.8,0.9,1.034,105.9,1.021,105.2,0.013,0.7,69.7,67.6,2.1,1.112,1.061,0.051,0.457,0.422,0.035,0.372,0.712,0.526,0.066,0.203,0.164,-0.039,0.068,0.271
NC Central,0.4825,0.724,0.167,351,-1.7,9.4,1.048,102.3,0.914,101.9,0.134,0.4,75.1,63.3,11.8,1.099,0.955,0.144,0.457,0.401,0.056,0.34,0.681,0.516,0.086,0.176,0.189,0.013,0.053,0.244
North Dakota,0.515,0.667,0.6,315,4.2,4.4,1.046,103.6,0.988,103.6,0.058,0,80.5,72.8,7.7,1.139,1.07,0.069,0.483,0.446,0.037,0.387,0.718,0.499,0.101,0.187,0.198,0.011,0.048,0.286
New Orleans,0.5065,0.593,0.286,292,-0.8,1.3,0.997,101.2,0.978,101.8,0.019,-0.6,73.1,69.3,3.8,1.091,1.061,0.03,0.471,0.441,0.03,0.322,0.712,0.517,0.106,0.233,0.219,-0.014,0.053,0.249
S Dakota St,0.5063,0.5,0.75,152,6.4,-1.1,1.078,110.2,1.093,111.4,-0.015,-1.2,77.6,77.4,0.2,1.164,1.132,0.032,0.459,0.455,0.004,0.363,0.776,0.503,0.07,0.179,0.16,-0.019,0.038,0.239
Mt St Marys,0.509,0.559,0.636,205,-3.8,-0.3,0.972,99.6,0.976,103.4,-0.004,-3.8,68.3,68.6,-0.3,1.073,1.046,0.027,0.444,0.448,-0.004,0.357,0.675,0.446,0.088,0.187,0.212,0.025,0.07,0.254
TX Southern,0.531,0.667,0.857,316,-1.4,2.6,1.038,103.5,1.002,107.5,0.036,-4,74.4,71.8,2.6,1.07,1.046,0.024,0.431,0.446,-0.015,0.296,0.734,0.49,0.099,0.161,0.188,0.027,0.053,0.242
UC Davis,0.5008,0.613,0.667,322,-3.8,0.4,0.961,97.8,0.954,102.2,0.007,-4.4,70.5,68.9,1.6,1.049,1.045,0.004,0.437,0.426,0.011,0.354,0.665,0.508,0.076,0.196,0.193,-0.003,0.059,0.268
Averages,0.588745588,0.732838235,0.614691176,106.2647059,12.25294118,8.354411765,1.081970588,113.4455882,0.964970588,97.89117647,0.117,15.55441176,77.02647059,68.20441176,8.822058824,1.130441176,1.030735294,0.099705882,0.46675,0.422705882,0.044044118,0.369338235,0.715735294,0.519220588,0.089720588,0.170426471,0.1875,0.017073529,0.067455882,0.253264706
