Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Gonzaga,0.644,0.97,1,102,26,23.4,1.166,118.4,0.843,86.3,0.323,32.1,84.6,61.2,23.4,1.221,0.892,0.329,0.518,0.368,0.15,0.382,0.738,0.553,0.094,0.155,0.174,0.019,0.076,0.234
Villanova,0.665,0.909,0.8,37,24.3,14.9,1.156,122.4,0.935,92.5,0.221,29.9,77.7,62.8,14.9,1.233,1.013,0.22,0.497,0.418,0.079,0.37,0.794,0.529,0.107,0.165,0.197,0.032,0.054,0.214
N Carolina,0.647,0.788,0.75,14,24.9,13.4,1.139,120.7,0.958,92.5,0.181,28.2,84.9,70.6,14.3,1.106,1.042,0.064,0.471,0.418,0.053,0.366,0.705,0.582,0.094,0.16,0.183,0.023,0.058,0.24
Kentucky,0.648,0.844,0.4,23,16.6,14.6,1.119,119.1,0.932,91.4,0.187,27.7,85.9,71.6,14.3,1.128,1.013,0.115,0.477,0.423,0.054,0.353,0.696,0.536,0.079,0.154,0.191,0.037,0.087,0.247
Florida,0.64,0.75,0.375,8,19.3,11.7,1.076,116.9,0.915,89.4,0.161,27.5,78.3,66.6,11.7,1.111,0.994,0.117,0.45,0.408,0.042,0.362,0.726,0.513,0.104,0.162,0.206,0.044,0.081,0.253
Kansas,0.653,0.875,0.75,35,18.3,10.3,1.123,122,0.983,94.5,0.14,27.5,82.7,72.4,10.3,1.16,1.027,0.133,0.487,0.419,0.068,0.405,0.666,0.528,0.095,0.178,0.182,0.004,0.074,0.242
W Virginia,0.605,0.788,0.444,72,19,16.3,1.102,116.5,0.892,89.4,0.21,27.1,82,66.3,15.7,1.094,1.044,0.05,0.458,0.42,0.038,0.361,0.678,0.52,0.135,0.164,0.277,0.113,0.09,0.275
Wichita St,0.598,0.879,0.5,186,24.4,19.3,1.139,118.7,0.871,92.6,0.268,26.1,82.1,62.4,19.7,1.165,0.963,0.202,0.473,0.379,0.094,0.408,0.734,0.558,0.09,0.155,0.193,0.038,0.071,0.262
Louisville,0.645,0.75,0.625,2,16.7,11.7,1.095,117.2,0.93,91.7,0.165,25.5,77.5,65.8,11.7,1.086,0.99,0.096,0.455,0.396,0.059,0.358,0.685,0.539,0.095,0.158,0.194,0.036,0.098,0.272
Oregon,0.643,0.875,0.75,44,23.4,13.8,1.111,118.2,0.923,93.2,0.188,25,79.1,65,14.1,1.166,0.978,0.188,0.481,0.399,0.082,0.378,0.711,0.525,0.092,0.168,0.196,0.028,0.106,0.226
S Methodist,0.624,0.875,0.667,93,21.2,14.8,1.143,119.8,0.918,95,0.225,24.8,74.5,59.8,14.7,1.147,0.973,0.174,0.473,0.386,0.087,0.403,0.695,0.57,0.088,0.167,0.181,0.014,0.061,0.222
Virginia,0.61,0.688,0.429,4,16.1,11,1.064,112.2,0.888,87.9,0.176,24.3,66.6,55.6,11,1.106,0.994,0.112,0.464,0.396,0.068,0.393,0.708,0.527,0.089,0.152,0.206,0.054,0.083,0.261
Baylor,0.639,0.774,0.6,5,15.9,8.6,1.077,117.1,0.948,92.9,0.129,24.2,72.7,62.7,10,1.115,0.983,0.132,0.471,0.398,0.073,0.359,0.717,0.56,0.078,0.202,0.165,-0.037,0.085,0.264
Duke,0.646,0.765,0.556,9,19.3,11,1.135,121,0.983,96.9,0.152,24.1,80.7,69.8,10.9,1.171,1.019,0.152,0.477,0.434,0.043,0.376,0.758,0.522,0.086,0.158,0.171,0.013,0.078,0.256
St Marys,0.621,0.875,1,78,20,15.5,1.161,118.7,0.911,95,0.25,23.7,72,56.5,15.5,1.205,0.962,0.243,0.496,0.409,0.087,0.399,0.748,0.575,0.067,0.17,0.151,-0.019,0.061,0.241
UCLA,0.624,0.879,0.833,106,20.1,15,1.185,124,0.988,100.4,0.197,23.6,90.4,75.3,15.1,1.233,1.016,0.217,0.519,0.419,0.1,0.405,0.745,0.527,0.078,0.151,0.159,0.008,0.081,0.214
Iowa State,0.611,0.688,0.583,35,19.1,9,1.103,119.7,0.982,96.3,0.121,23.4,80.9,72,8.9,1.137,1.03,0.107,0.469,0.425,0.044,0.402,0.696,0.474,0.106,0.137,0.196,0.059,0.057,0.218
Arizona,0.655,0.879,0.667,24,14.9,11.1,1.106,118.4,0.949,95.1,0.157,23.3,76.3,65.4,10.9,1.154,1.001,0.153,0.476,0.415,0.061,0.398,0.758,0.55,0.079,0.165,0.176,0.011,0.056,0.246
Purdue,0.613,0.781,0.6,62,17.9,13,1.109,116.9,0.93,93.8,0.179,23.1,80.1,67.2,12.9,1.183,0.989,0.194,0.48,0.413,0.067,0.406,0.764,0.55,0.072,0.181,0.167,-0.014,0.041,0.219
Michigan,0.599,0.667,0.4,26,23.3,9.2,1.143,122.3,1.001,99.3,0.142,23,74.8,65.5,9.3,1.193,1.087,0.106,0.481,0.465,0.016,0.38,0.774,0.488,0.088,0.145,0.197,0.052,0.052,0.229
Wisconsin,0.597,0.75,0.8,83,11.4,10.8,1.076,115.1,0.919,92.1,0.157,23,71.9,61.4,10.5,1.078,1.01,0.068,0.454,0.408,0.046,0.355,0.643,0.545,0.101,0.162,0.196,0.034,0.065,0.243
Oklahoma St,0.588,0.613,0.4,15,17.4,7.2,1.141,126,1.044,103.5,0.097,22.5,85.5,78,7.5,1.164,1.138,0.026,0.464,0.467,-0.003,0.401,0.787,0.525,0.102,0.178,0.201,0.023,0.053,0.299
Cincinnati,0.633,0.875,0.667,66,16.6,14.7,1.1,115,0.899,92.8,0.201,22.2,74.5,60.8,13.7,1.095,0.966,0.129,0.459,0.381,0.078,0.349,0.68,0.534,0.108,0.152,0.206,0.054,0.088,0.234
S Carolina,0.587,0.677,0.5,47,7.7,6.9,0.986,108.9,0.891,88.1,0.095,20.8,72.1,64.5,7.6,1.018,1.008,0.01,0.414,0.4,0.014,0.338,0.69,0.504,0.108,0.185,0.24,0.055,0.069,0.282
Butler,0.626,0.742,0.6,13,13.5,7.9,1.109,117.7,0.994,97,0.115,20.7,76.3,68.4,7.9,1.16,1.083,0.077,0.478,0.444,0.034,0.363,0.74,0.506,0.088,0.148,0.197,0.049,0.052,0.273
Florida St,0.631,0.758,0.625,20,18.3,11.2,1.116,115.5,0.965,95.4,0.151,20.1,82.5,71.3,11.2,1.136,1.032,0.104,0.483,0.412,0.071,0.356,0.692,0.525,0.1,0.16,0.194,0.034,0.087,0.264
Notre Dame,0.609,0.758,0.7,34,17.6,9.2,1.12,118.1,0.994,98.4,0.126,19.7,78,69.2,8.8,1.157,1.034,0.123,0.461,0.426,0.035,0.386,0.799,0.486,0.102,0.137,0.184,0.047,0.063,0.213
Creighton,0.603,0.75,0.6,50,14.9,9.7,1.101,115.3,0.981,96.5,0.12,18.8,82.1,72.5,9.6,1.199,1.047,0.152,0.508,0.438,0.07,0.399,0.682,0.487,0.082,0.166,0.191,0.025,0.048,0.226
