Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
American,0.544,0.656,0.5,259,2.8,3.3,1.034,107.9,0.981,106.3,0.053,1.6,65.1,61.8,3.3,1.136,1.042,0.094,0.443,0.413,0.03,0.409,0.743,0.52,0.073,0.211,0.187,-0.024,0.052,0.278
Arizona,0.585,0.562,0.222,1,22,4.8,1.07,116.4,0.999,97.3,0.071,19.1,71.6,66.8,4.8,1.156,1.032,0.124,0.476,0.436,0.04,0.396,0.743,0.485,0.084,0.18,0.182,0.002,0.064,0.247
Arkansas,0.599,0.688,0.571,230,19.4,7.1,1.044,111.4,0.945,96.2,0.099,15.2,74.2,67.1,7.1,1.094,1.027,0.067,0.466,0.418,0.048,0.346,0.674,0.538,0.099,0.216,0.209,-0.007,0.094,0.268
Austin Peay,0.548,0.706,0.75,249,6.1,3.9,1.063,104.6,1.007,104.9,0.056,-0.3,74.6,70.7,3.9,1.126,1.132,-0.006,0.451,0.466,-0.015,0.386,0.714,0.483,0.139,0.178,0.236,0.058,0.04,0.25
Baylor,0.577,0.667,0.4,64,19.2,6.3,1.078,115.7,0.994,100.9,0.084,14.8,80.7,74.5,6.2,1.119,1.043,0.076,0.453,0.428,0.025,0.376,0.741,0.498,0.098,0.166,0.187,0.021,0.073,0.279
Belmont,0.549,0.75,0.714,275,10.2,5,1.067,106.2,1,106.2,0.067,0,79.3,74.3,5,1.122,1.104,0.018,0.447,0.46,-0.013,0.363,0.698,0.511,0.114,0.199,0.215,0.016,0.032,0.25
Boise State,0.547,0.75,0.556,235,10.9,5.1,1.075,108.7,1.007,104.8,0.068,3.9,81.2,76.1,5.1,1.187,1.066,0.121,0.502,0.444,0.058,0.396,0.666,0.516,0.082,0.203,0.191,-0.012,0.039,0.227
Butler,0.612,0.906,0.75,105,23.1,10.6,1.109,116.2,0.937,96.2,0.172,20,68.3,57.8,10.5,1.153,1.019,0.134,0.45,0.429,0.021,0.376,0.737,0.491,0.102,0.163,0.222,0.059,0.051,0.275
BYU,0.599,0.794,0.667,112,23.6,10.9,1.029,107.4,0.877,91.7,0.152,15.7,74.1,63.1,11,1.115,0.941,0.174,0.461,0.386,0.075,0.375,0.658,0.533,0.082,0.198,0.188,-0.01,0.067,0.246
Clemson,0.61,0.742,0.6,28,22.3,10.2,1.072,114,0.934,91.9,0.138,22.1,79.1,69,10.1,1.078,1.029,0.049,0.46,0.434,0.026,0.381,0.627,0.517,0.131,0.194,0.236,0.042,0.094,0.26
Connecticut,0.611,0.75,0.727,37,20.9,9.1,1.07,115.2,0.945,96.3,0.125,18.9,77.7,68.6,9.1,1.109,0.937,0.172,0.463,0.384,0.079,0.359,0.719,0.542,0.079,0.185,0.164,-0.021,0.133,0.209
Coppin State,0.462,0.412,0.533,312,-7.2,-7,0.888,92.4,0.992,106.8,-0.104,-14.4,59.1,66.1,-7,0.963,1.071,-0.108,0.394,0.44,-0.046,0.323,0.717,0.464,0.105,0.215,0.24,0.025,0.04,0.283
Cornell,0.558,0.808,0.833,311,4.6,7.6,1.084,110.1,0.976,105.7,0.108,4.4,76.6,69,7.6,1.191,1.043,0.148,0.49,0.425,0.065,0.408,0.763,0.505,0.083,0.195,0.2,0.005,0.049,0.261
CS Fullerton,0.552,0.742,0.4,222,13.7,9.6,1.108,112.3,0.979,103.9,0.129,8.4,82.5,72.9,9.6,1.143,1.106,0.037,0.476,0.466,0.01,0.385,0.706,0.511,0.119,0.179,0.229,0.05,0.025,0.253
Davidson,0.59,0.806,0.5,160,20.2,14.2,1.106,117,0.903,93.4,0.203,23.6,77.3,63.1,14.2,1.136,1.026,0.11,0.472,0.419,0.053,0.365,0.729,0.524,0.11,0.171,0.233,0.062,0.062,0.26
Drake,0.628,0.867,0.667,95,24.1,11.2,1.118,120,0.944,98.5,0.174,21.5,72.3,61,11.3,1.133,1.037,0.096,0.444,0.431,0.013,0.366,0.765,0.519,0.111,0.176,0.229,0.053,0.045,0.225
Duke,0.648,0.844,0.4,12,33.9,14.8,1.104,116.3,0.909,89.9,0.195,26.4,84.1,69.3,14.8,1.142,1.011,0.131,0.465,0.435,0.03,0.384,0.695,0.504,0.114,0.175,0.241,0.066,0.067,0.251
Geo Mason,0.562,0.697,0.286,171,14.6,7.6,1.075,110.7,0.959,101,0.116,9.7,69.9,62.3,7.6,1.125,1.012,0.113,0.469,0.419,0.05,0.352,0.704,0.532,0.086,0.18,0.177,-0.003,0.059,0.238
Georgetown,0.643,0.844,1,26,25.9,11.8,1.077,115.2,0.896,89.7,0.181,25.5,69.7,58,11.7,1.163,0.922,0.241,0.486,0.367,0.119,0.38,0.665,0.519,0.11,0.202,0.191,-0.011,0.092,0.271
Georgia,0.533,0.484,0.571,46,10.5,0.6,0.982,104.3,0.972,96.2,0.01,8.1,67.9,67.3,0.6,1.018,1.015,0.003,0.426,0.427,-0.001,0.326,0.672,0.527,0.096,0.212,0.184,-0.028,0.059,0.261
Gonzaga,0.594,0.781,0.7,102,24.5,13.2,1.081,114.5,0.894,95.5,0.187,19,76.5,63.2,13.3,1.152,0.966,0.186,0.484,0.393,0.091,0.371,0.715,0.537,0.106,0.199,0.206,0.007,0.084,0.249
Indiana,0.603,0.781,0.636,59,26.4,10.4,1.086,114.6,0.935,96.1,0.151,18.5,75.1,64.7,10.4,1.142,0.989,0.153,0.463,0.409,0.054,0.346,0.763,0.548,0.102,0.196,0.191,-0.005,0.067,0.249
Kansas,0.646,0.906,0.6,44,31.8,19.8,1.146,120.9,0.866,85.7,0.28,35.2,81.1,61.3,19.8,1.177,0.96,0.217,0.505,0.382,0.123,0.389,0.708,0.555,0.13,0.183,0.224,0.041,0.11,0.247
Kansas St,0.577,0.633,0.5,40,15,9.8,1.059,114.2,0.927,95.3,0.132,18.9,78.8,69,9.8,1.064,1.023,0.041,0.444,0.422,0.022,0.324,0.695,0.553,0.103,0.202,0.219,0.017,0.063,0.27
Kent State,0.605,0.824,0.727,129,17.3,7.6,1.033,107.8,0.919,94.8,0.114,13,69.2,61.6,7.6,1.122,0.999,0.123,0.467,0.409,0.058,0.368,0.714,0.511,0.127,0.215,0.238,0.023,0.075,0.28
Kentucky,0.567,0.6,0.6,51,13.4,3.3,1.01,107.8,0.962,97.8,0.048,10,68.6,65.3,3.3,1.133,0.995,0.138,0.469,0.394,0.075,0.368,0.734,0.514,0.099,0.229,0.191,-0.038,0.088,0.276
Louisville,0.622,0.75,0.444,33,18.9,10.6,1.048,113.1,0.894,87.7,0.154,25.4,71.9,61.3,10.6,1.09,0.952,0.138,0.453,0.383,0.07,0.342,0.655,0.52,0.118,0.193,0.206,0.013,0.088,0.265
Marquette,0.606,0.719,0.4,42,27.7,11.6,1.068,115.3,0.905,93.1,0.163,22.2,75.9,64.3,11.6,1.084,1,0.084,0.447,0.413,0.034,0.359,0.701,0.521,0.133,0.182,0.233,0.051,0.071,0.295
Memphis,0.664,0.971,0.667,93,26.7,19.1,1.103,118,0.839,86.5,0.264,31.5,79.7,60.6,19.1,1.09,0.927,0.163,0.466,0.383,0.083,0.35,0.596,0.543,0.121,0.167,0.221,0.054,0.108,0.241
Miami (FL),0.587,0.677,0.667,74,21.3,5.8,1.048,112.5,0.966,97.1,0.082,15.4,73.8,68,5.8,1.078,1.007,0.071,0.434,0.41,0.024,0.378,0.748,0.51,0.082,0.186,0.198,0.012,0.079,0.265
Michigan St,0.615,0.758,0.714,34,22.7,9.3,1.08,115.8,0.939,94.7,0.141,21.1,71.3,62,9.3,1.118,0.982,0.136,0.48,0.401,0.079,0.373,0.731,0.553,0.092,0.201,0.182,-0.019,0.08,0.275
Miss State,0.581,0.688,0.375,66,14.9,8,1.017,108.2,0.905,91.5,0.112,16.7,73.1,65.1,8,1.093,0.917,0.176,0.461,0.368,0.093,0.334,0.644,0.529,0.083,0.209,0.174,-0.035,0.126,0.23
Miss Val St,0.463,0.5,0.615,335,-7.7,-4.6,0.909,91.9,0.978,107.1,-0.069,-15.2,61,65.6,-4.6,0.974,1.052,-0.078,0.399,0.447,-0.048,0.352,0.672,0.483,0.085,0.206,0.22,0.014,0.05,0.26
Mt St Marys,0.505,0.562,0.375,278,3.9,2.6,0.987,99.3,0.951,100.6,0.036,-1.3,69.1,66.5,2.6,1.075,1.014,0.061,0.446,0.415,0.031,0.367,0.696,0.489,0.103,0.203,0.213,0.01,0.067,0.284
N Carolina,0.672,0.939,0.833,24,28.7,16.3,1.131,122.1,0.923,91.9,0.208,30.2,88.8,72.5,16.3,1.135,1.008,0.127,0.482,0.422,0.06,0.377,0.759,0.573,0.106,0.184,0.204,0.02,0.071,0.214
Notre Dame,0.599,0.774,0.4,68,22.6,10.1,1.1,114.6,0.962,95.6,0.138,19,80.6,70.5,10.1,1.126,0.979,0.147,0.459,0.412,0.047,0.41,0.735,0.537,0.087,0.176,0.169,-0.007,0.058,0.205
Oklahoma,0.594,0.667,0.75,15,21.9,5,1.02,109.5,0.945,95.1,0.075,14.4,68.4,63.4,5,1.067,1.004,0.063,0.442,0.406,0.036,0.348,0.681,0.521,0.098,0.191,0.192,0.001,0.071,0.252
Oral Roberts,0.572,0.742,0.5,128,15.5,7.4,1.024,104.7,0.914,94.5,0.11,10.2,68.9,61.5,7.4,1.069,0.977,0.092,0.44,0.399,0.041,0.367,0.667,0.517,0.093,0.188,0.203,0.015,0.07,0.249
Oregon,0.57,0.581,0.5,4,21.6,4.4,1.107,118.8,1.044,103.1,0.063,15.7,76.8,72.4,4.4,1.175,1.067,0.108,0.485,0.443,0.042,0.401,0.689,0.514,0.066,0.181,0.159,-0.022,0.043,0.26
Pittsburgh,0.616,0.735,0.625,36,25.9,8,1.078,116.5,0.96,96.6,0.118,19.9,73.3,65.3,8,1.076,1.019,0.057,0.459,0.423,0.036,0.343,0.656,0.526,0.096,0.178,0.201,0.023,0.059,0.238
Portland St,0.543,0.7,0.667,218,9.4,5.8,1.067,108.6,0.984,103.2,0.083,5.4,74.1,68.3,5.8,1.15,1.083,0.067,0.469,0.447,0.022,0.401,0.671,0.514,0.098,0.208,0.218,0.01,0.062,0.258
Purdue,0.578,0.75,0.545,70,14.9,7.5,1.011,110.5,0.9,92.2,0.111,18.3,68.7,61.2,7.5,1.057,1.047,0.01,0.423,0.434,-0.011,0.37,0.706,0.5,0.125,0.186,0.256,0.07,0.088,0.288
St Josephs,0.578,0.636,0.333,75,13.5,6.1,1.091,115.1,1.001,100.8,0.09,14.3,73.3,67.3,6,1.161,1.064,0.097,0.477,0.434,0.043,0.385,0.726,0.499,0.107,0.186,0.206,0.02,0.085,0.259
San Diego,0.543,0.606,0.8,125,8,2,0.965,101.6,0.935,97,0.03,4.6,65,63,2,1.046,1.038,0.008,0.446,0.439,0.007,0.339,0.674,0.512,0.101,0.215,0.223,0.008,0.06,0.256
Siena,0.557,0.688,0.714,202,10.6,5.8,1.064,108.6,0.984,100.7,0.08,7.9,76.8,71.1,5.7,1.078,1.066,0.012,0.451,0.451,0,0.383,0.683,0.469,0.131,0.151,0.237,0.086,0.06,0.214
S Alabama,0.587,0.8,0.5,230,15.2,10.1,1.103,112.6,0.955,100.8,0.148,11.8,75.9,65.8,10.1,1.155,1.014,0.141,0.478,0.418,0.06,0.37,0.711,0.546,0.089,0.198,0.197,-0.001,0.053,0.251
St Marys,0.587,0.8,1,158,19.7,12.4,1.079,109.2,0.902,94.6,0.177,14.6,75.8,63.4,12.4,1.109,0.962,0.147,0.459,0.406,0.053,0.36,0.663,0.524,0.102,0.189,0.205,0.016,0.088,0.243
Stanford,0.62,0.788,0.667,19,24.5,10.1,1.063,113.6,0.911,90.9,0.152,22.7,70.7,60.6,10.1,1.071,0.951,0.12,0.449,0.394,0.055,0.36,0.696,0.557,0.066,0.181,0.174,-0.007,0.094,0.258
Temple,0.575,0.636,0.571,72,13,4,1.069,112.8,1.009,100.4,0.06,12.4,72.6,68.6,4,1.157,1.051,0.106,0.472,0.423,0.049,0.372,0.741,0.492,0.092,0.183,0.187,0.004,0.078,0.263
Tennessee,0.676,0.875,0.833,30,26.6,11.5,1.112,116.2,0.956,94,0.156,22.2,82.4,70.9,11.5,1.104,1.053,0.051,0.457,0.437,0.02,0.364,0.654,0.508,0.124,0.172,0.24,0.068,0.058,0.28
