Result,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,Year
Winner,louisville,0.622,0.75,0.444,33,18.9,10.6,1.048,113.1,0.894,87.7,0.154,25.4,71.9,61.3,10.6,1.09,0.952,0.138,0.453,0.383,0.07,0.342,0.655,0.52,0.118,0.193,0.206,0.013,0.088,0.265,2008
Loser,boise state,0.547,0.75,0.556,235,10.9,5.1,1.075,108.7,1.007,104.8,0.068,3.9,81.2,76.1,5.1,1.187,1.066,0.121,0.502,0.444,0.058,0.396,0.666,0.516,0.082,0.203,0.191,-0.012,0.039,0.227,2008
,,x,,,x,x,x,,x,x,x,x,x,,x,x,,x,x,,x,x,,,x,x,x,x,x,x,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,butler,0.612,0.906,0.75,105,23.1,10.6,1.109,116.2,0.937,96.2,0.172,20,68.3,57.8,10.5,1.153,1.019,0.134,0.45,0.429,0.021,0.376,0.737,0.491,0.102,0.163,0.222,0.059,0.051,0.275,2008
Loser,s alabama,0.587,0.8,0.5,230,15.2,10.1,1.103,112.6,0.955,100.8,0.148,11.8,75.9,65.8,10.1,1.155,1.014,0.141,0.478,0.418,0.06,0.37,0.711,0.546,0.089,0.198,0.197,-0.001,0.053,0.251,2008
,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,,x,x,x,x,,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,tennessee,0.676,0.875,0.833,30,26.6,11.5,1.112,116.2,0.956,94,0.156,22.2,82.4,70.9,11.5,1.104,1.053,0.051,0.457,0.437,0.02,0.364,0.654,0.508,0.124,0.172,0.24,0.068,0.058,0.28,2008
Loser,american,0.544,0.656,0.5,259,2.8,3.3,1.034,107.9,0.981,106.3,0.053,1.6,65.1,61.8,3.3,1.136,1.042,0.094,0.443,0.413,0.03,0.409,0.743,0.52,0.073,0.211,0.187,-0.024,0.052,0.278,2008
,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,x,x,x,x,x,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,n carolina,0.672,0.939,0.833,24,28.7,16.3,1.131,122.1,0.923,91.9,0.208,30.2,88.8,72.5,16.3,1.135,1.008,0.127,0.482,0.422,0.06,0.377,0.759,0.573,0.106,0.184,0.204,0.02,0.071,0.214,2008
Loser,arkansas,0.599,0.688,0.571,230,19.4,7.1,1.044,111.4,0.945,96.2,0.099,15.2,74.2,67.1,7.1,1.094,1.027,0.067,0.466,0.418,0.048,0.346,0.674,0.538,0.099,0.216,0.209,-0.007,0.094,0.268,2008
,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,x,x,x,x,x,x,,x,,x,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
