Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Akron,0.584,0.8,0.667,131,4.9,9.4,1.043,104.9,0.908,93.4,0.135,11.5,72.2,62.8,9.4,1.079,0.977,0.102,0.454,0.394,0.06,0.334,0.643,0.539,0.103,0.199,0.2,0.001,0.103,0.263
Albany,0.514,0.697,0.636,228,3.3,4.1,0.998,100.7,0.935,99.4,0.063,1.3,64.8,60.6,4.2,1.083,1.011,0.072,0.436,0.422,0.014,0.365,0.735,0.528,0.082,0.208,0.193,-0.015,0.037,0.267
Arizona,0.626,0.781,0.625,23,9.9,9.6,1.064,113.5,0.925,91.7,0.139,21.8,73.3,63.7,9.6,1.118,1.012,0.106,0.45,0.415,0.035,0.363,0.748,0.544,0.101,0.19,0.2,0.01,0.072,0.246
Belmont,0.619,0.8,0.5,170,9.6,12.3,1.102,109.7,0.926,94.8,0.176,14.9,76.9,64.6,12.3,1.191,1.029,0.162,0.494,0.413,0.081,0.376,0.735,0.492,0.137,0.194,0.245,0.051,0.051,0.25
Boise State,0.592,0.655,0.429,114,12.7,4.6,1.047,111.3,0.979,97.8,0.068,13.5,71.1,66.4,4.7,1.107,1.095,0.012,0.448,0.443,0.005,0.387,0.749,0.521,0.098,0.181,0.197,0.016,0.033,0.29
Bucknell,0.582,0.844,0.5,159,5.2,9.6,1.055,105.4,0.905,92.7,0.15,12.7,67.2,57.7,9.5,1.083,0.927,0.156,0.455,0.379,0.076,0.36,0.748,0.544,0.055,0.148,0.14,-0.008,0.074,0.261
Butler,0.618,0.781,0.667,56,7.4,5.4,1.043,108.7,0.961,93.4,0.082,15.3,68.8,63.4,5.4,1.091,1.013,0.078,0.451,0.417,0.034,0.345,0.688,0.556,0.086,0.198,0.17,-0.028,0.043,0.273
California,0.578,0.645,0.667,39,10.9,3.2,0.995,105.4,0.948,92.3,0.047,13.1,67.5,64.4,3.1,1.036,0.963,0.073,0.446,0.396,0.05,0.304,0.725,0.522,0.085,0.185,0.163,-0.022,0.081,0.279
Cincinnati,0.585,0.667,0.5,78,7.7,7.9,0.989,104.1,0.872,88.5,0.117,15.6,66.6,58.8,7.8,0.988,0.93,0.058,0.402,0.385,0.017,0.317,0.649,0.544,0.104,0.19,0.196,0.006,0.113,0.234
Colorado,0.596,0.656,0.625,21,9.5,4.4,1,104.7,0.936,90.1,0.064,14.6,68.2,63.8,4.4,1.049,0.979,0.07,0.436,0.404,0.032,0.347,0.684,0.522,0.103,0.194,0.19,-0.004,0.054,0.263
Colorado St,0.616,0.742,0.667,160,9.2,8.7,1.103,116.2,0.97,97.1,0.133,19.1,72.3,63.5,8.8,1.065,1.035,0.03,0.443,0.418,0.025,0.334,0.709,0.587,0.071,0.163,0.165,0.002,0.035,0.249
Creighton,0.609,0.794,0.4,38,13.1,12.3,1.138,116.4,0.953,94.7,0.185,21.7,75.4,63.1,12.3,1.237,0.975,0.262,0.508,0.407,0.101,0.421,0.75,0.539,0.075,0.185,0.159,-0.026,0.045,0.226
Davidson,0.565,0.781,0.5,224,14.3,11.1,1.105,110.2,0.937,98.9,0.168,11.3,73.1,62,11.1,1.162,1,0.162,0.462,0.413,0.049,0.366,0.801,0.516,0.086,0.166,0.186,0.02,0.052,0.255
Duke,0.674,0.844,0.75,16,17.5,12.9,1.121,117.3,0.937,90.4,0.184,26.9,78.3,65.4,12.9,1.156,0.991,0.165,0.476,0.418,0.058,0.406,0.732,0.49,0.094,0.153,0.206,0.053,0.066,0.256
