Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Fla Gulf Cst,0.543,0.688,1,309,4.5,5,1.014,103.1,0.944,96.8,0.07,6.3,72.3,67.3,5,1.081,1.013,0.068,0.456,0.411,0.045,0.331,0.67,0.506,0.124,0.205,0.219,0.014,0.066,0.271
Florida,0.64,0.806,0,40,20.4,18.9,1.125,115.5,0.831,84.3,0.294,31.2,72.3,53.4,18.9,1.167,0.909,0.258,0.486,0.372,0.114,0.387,0.688,0.54,0.108,0.176,0.219,0.043,0.067,0.253
Georgetown,0.637,0.806,0.5,6,20.4,8.8,1.001,105.8,0.864,84.6,0.137,21.2,64.6,55.7,8.9,1.09,0.932,0.158,0.456,0.376,0.08,0.358,0.68,0.511,0.116,0.197,0.221,0.024,0.073,0.29
Gonzaga,0.645,0.938,0.833,95,22,17.3,1.15,118.6,0.891,90.9,0.259,27.7,76.8,59.5,17.3,1.174,0.952,0.222,0.499,0.382,0.117,0.364,0.712,0.551,0.118,0.167,0.204,0.037,0.051,0.234
Harvard,0.545,0.667,0.6,165,3.2,4.7,1.044,106.3,0.973,99.3,0.071,7,68.9,64.2,4.7,1.183,1.05,0.133,0.483,0.443,0.04,0.401,0.723,0.49,0.112,0.207,0.206,-0.001,0.078,0.278
Illinois,0.597,0.636,0.875,7,12.5,3.2,1.019,108.7,0.972,92.9,0.047,15.8,68.6,65.4,3.2,1.032,1.054,-0.022,0.413,0.429,-0.016,0.323,0.722,0.489,0.102,0.171,0.215,0.044,0.074,0.263
Indiana,0.645,0.844,0.5,50,21.4,18.5,1.153,119,0.889,89.8,0.264,29.2,80.8,62.3,18.5,1.196,0.944,0.252,0.49,0.387,0.103,0.415,0.747,0.555,0.106,0.186,0.205,0.019,0.065,0.276
Iona,0.541,0.606,0.375,120,3,4.9,1.094,112.5,1.027,105,0.067,7.5,80.7,75.8,4.9,1.129,1.079,0.05,0.457,0.449,0.008,0.373,0.778,0.501,0.09,0.165,0.191,0.026,0.049,0.257
Iowa State,0.591,0.667,0.4,10,12.6,8.4,1.095,115.7,0.979,98.1,0.116,17.6,79.6,71.2,8.4,1.136,1.031,0.105,0.455,0.427,0.028,0.37,0.731,0.531,0.09,0.182,0.182,0,0.049,0.218
James Mad,0.494,0.588,0.571,130,1.3,0.8,0.983,98.4,0.971,99.3,0.012,-0.9,65.2,64.4,0.8,1.029,1.051,-0.022,0.42,0.427,-0.007,0.333,0.701,0.487,0.119,0.169,0.209,0.04,0.087,0.299
Kansas,0.643,0.849,0.667,1,22.3,13.8,1.077,110.9,0.88,85.7,0.197,25.2,75.5,61.7,13.8,1.143,0.918,0.225,0.48,0.36,0.12,0.364,0.732,0.545,0.102,0.195,0.185,-0.01,0.114,0.242
Kansas St,0.622,0.812,0.833,44,15.6,8,1.064,111.7,0.941,93.6,0.123,18.1,69.1,61.1,8,1.052,1.016,0.036,0.435,0.424,0.011,0.364,0.693,0.518,0.108,0.179,0.22,0.041,0.073,0.261
La Salle,0.593,0.7,0.833,67,11.7,6.5,1.051,110,0.957,96.2,0.094,13.8,72.4,66,6.4,1.098,1.042,0.056,0.448,0.456,-0.008,0.371,0.738,0.477,0.117,0.17,0.216,0.046,0.064,0.26
Liberty,0.432,0.375,0.417,331,-2.4,-3.4,0.985,99.5,1.035,108.9,-0.05,-9.4,67.4,70.8,-3.4,1.058,1.032,0.026,0.422,0.425,-0.003,0.367,0.733,0.49,0.075,0.195,0.148,-0.047,0.05,0.296
LIU-Brooklyn,0.502,0.606,0.4,206,2.7,3.1,1.094,108.6,1.052,110.7,0.042,-2.1,79.5,76.4,3.1,1.162,1.1,0.062,0.483,0.468,0.015,0.385,0.69,0.512,0.094,0.198,0.179,-0.019,0.058,0.282
Louisville,0.657,0.849,0.556,93,22.3,15.5,1.061,116,0.836,83.1,0.225,32.9,73.4,57.9,15.5,1.07,0.946,0.124,0.447,0.388,0.059,0.331,0.711,0.527,0.155,0.183,0.269,0.086,0.08,0.272
Marquette,0.629,0.742,0.5,29,14,6.3,1.041,111.5,0.947,93.2,0.094,18.3,69,62.7,6.3,1.097,0.991,0.106,0.467,0.405,0.062,0.301,0.723,0.533,0.102,0.205,0.194,-0.011,0.062,0.267
Memphis,0.624,0.879,0.8,71,13,10.7,1.053,105.6,0.904,89.3,0.149,16.3,75.4,64.7,10.7,1.116,0.986,0.13,0.479,0.403,0.076,0.379,0.667,0.537,0.126,0.205,0.215,0.01,0.111,0.232
Miami (FL),0.647,0.806,0.571,58,12.5,9.2,1.049,111.9,0.909,89.5,0.14,22.4,69,59.8,9.2,1.092,0.954,0.138,0.458,0.394,0.064,0.353,0.67,0.52,0.097,0.167,0.181,0.014,0.084,0.232
Michigan,0.621,0.781,0.571,3,10.9,11.4,1.133,120.2,0.959,92.4,0.174,27.8,74.4,62.9,11.5,1.137,1.005,0.132,0.48,0.421,0.059,0.375,0.71,0.521,0.092,0.14,0.185,0.045,0.05,0.229
Michigan St,0.642,0.774,0.667,9,19.2,8.5,1.032,110.8,0.903,86.7,0.129,24.1,67.8,59.3,8.5,1.088,0.965,0.123,0.462,0.398,0.064,0.342,0.708,0.545,0.125,0.201,0.197,-0.004,0.071,0.287
Middle Tenn,0.606,0.849,0.75,204,14.9,13.5,1.054,105.3,0.855,90.6,0.199,14.7,71.2,57.8,13.4,1.099,0.957,0.142,0.464,0.394,0.07,0.379,0.694,0.541,0.105,0.203,0.235,0.032,0.075,0.271
Minnesota,0.602,0.625,0.5,26,7.3,6.8,1.042,112.9,0.939,93.1,0.103,19.8,68.4,61.7,6.7,1.058,0.987,0.071,0.442,0.396,0.046,0.326,0.685,0.557,0.115,0.21,0.195,-0.015,0.107,0.229
Mississippi,0.58,0.75,0.5,77,9.6,10.8,1.062,110.5,0.916,93.6,0.146,16.9,78.7,67.9,10.8,1.06,0.997,0.063,0.438,0.413,0.025,0.335,0.692,0.504,0.114,0.154,0.213,0.059,0.088,0.257
Missouri,0.599,0.697,0.333,55,19.4,10.1,1.083,113.2,0.94,94.6,0.143,18.6,76.2,66.2,10,1.101,0.978,0.123,0.46,0.401,0.059,0.34,0.739,0.564,0.096,0.188,0.171,-0.017,0.059,0.277
Montana,0.552,0.786,0.857,287,1.3,4.9,1.064,103.2,0.991,101,0.073,2.2,70.6,65.7,4.9,1.167,1.039,0.128,0.472,0.433,0.039,0.377,0.77,0.492,0.086,0.187,0.181,-0.006,0.056,0.309
NC A&T,0.464,0.515,0.5,294,-2.7,0.1,0.901,91.4,0.899,96.7,0.002,-5.3,61.8,61.6,0.2,0.986,0.977,0.009,0.395,0.386,0.009,0.304,0.66,0.49,0.099,0.22,0.232,0.012,0.083,0.29
NC State,0.607,0.727,0.545,43,14.2,8,1.102,115,0.988,98,0.114,17,77.7,69.7,8,1.139,0.999,0.14,0.494,0.417,0.077,0.391,0.687,0.523,0.092,0.174,0.165,-0.009,0.069,0.245
New Mexico,0.666,0.849,0.8,81,15,7,1.015,108,0.91,89,0.105,19,67.6,60.5,7.1,1.069,0.967,0.102,0.424,0.39,0.034,0.351,0.723,0.518,0.092,0.176,0.192,0.016,0.071,0.274
N Mex State,0.573,0.688,0.6,218,4.8,5,1.015,102.9,0.94,95.2,0.075,7.7,68.1,63.1,5,1.073,0.984,0.089,0.462,0.403,0.059,0.327,0.66,0.539,0.081,0.214,0.184,-0.03,0.098,0.261
N Carolina,0.619,0.71,0.5,19,15.9,7.7,1.035,110.4,0.93,93.3,0.105,17.1,76.1,68.3,7.8,1.036,1.009,0.027,0.438,0.421,0.017,0.368,0.668,0.517,0.11,0.171,0.212,0.041,0.057,0.24
NW State,0.544,0.692,0.714,271,2,5.7,1.038,104.9,0.963,102,0.075,2.9,78.3,72.7,5.6,1.062,1.01,0.052,0.445,0.431,0.014,0.318,0.691,0.492,0.123,0.19,0.216,0.026,0.075,0.264
Notre Dame,0.595,0.735,0.8,47,14.1,7.2,1.075,112.7,0.964,96.1,0.111,16.6,70.4,63.1,7.3,1.105,0.984,0.121,0.464,0.418,0.046,0.373,0.707,0.529,0.078,0.169,0.158,-0.011,0.067,0.213
Ohio State,0.626,0.774,0.25,28,18.2,11.8,1.07,113.4,0.891,88,0.179,25.4,70.2,58.4,11.8,1.088,0.973,0.115,0.457,0.395,0.062,0.362,0.696,0.526,0.103,0.165,0.204,0.039,0.084,0.249
Oklahoma,0.596,0.645,0.444,24,13.4,4.9,1.031,109.3,0.96,95.5,0.071,13.8,71.1,66.2,4.9,1.052,1.015,0.037,0.436,0.418,0.018,0.326,0.76,0.511,0.094,0.172,0.193,0.021,0.049,0.261
Oklahoma St,0.61,0.75,0.75,35,14.4,9.5,1.035,107.2,0.899,88.5,0.136,18.7,72.4,62.8,9.6,1.076,0.969,0.107,0.44,0.39,0.05,0.316,0.75,0.512,0.107,0.177,0.211,0.034,0.085,0.299
Oregon,0.584,0.758,0.7,41,8.7,8.1,1.002,104.9,0.889,88.1,0.113,16.8,71.5,63.5,8,1.06,0.994,0.066,0.446,0.412,0.034,0.318,0.709,0.543,0.121,0.209,0.219,0.01,0.073,0.226
Pacific,0.537,0.613,0.5,96,2.8,1.6,1.037,104.4,1.012,100.4,0.025,4,66.9,65.3,1.6,1.09,1.078,0.012,0.448,0.433,0.015,0.395,0.698,0.493,0.086,0.176,0.199,0.023,0.024,0.3
Pittsburgh,0.592,0.75,0.2,54,15.7,14.2,1.115,113.8,0.889,89.7,0.226,24.1,69.6,55.4,14.2,1.098,0.982,0.116,0.475,0.393,0.082,0.36,0.664,0.555,0.107,0.175,0.218,0.043,0.081,0.239
Saint Louis,0.61,0.806,0.5,97,17.9,10.7,1.04,106.8,0.878,86.8,0.162,20,69,58.3,10.7,1.095,0.987,0.108,0.447,0.416,0.031,0.345,0.712,0.506,0.109,0.169,0.229,0.06,0.065,0.286
San Diego St,0.605,0.667,0.333,121,12.2,7.1,1.006,105.9,0.901,88.5,0.105,17.4,68.3,61.2,7.1,1.038,0.952,0.086,0.432,0.39,0.042,0.324,0.684,0.523,0.097,0.176,0.181,0.005,0.078,0.255
S Dakota St,0.564,0.71,0.4,225,5.6,6.3,1.105,110.1,1.009,103.3,0.096,6.8,72.6,66.4,6.2,1.147,1.063,0.084,0.463,0.447,0.016,0.394,0.773,0.522,0.077,0.16,0.169,0.009,0.039,0.239
Southern,0.492,0.679,0.5,344,-3,8.4,0.999,97.4,0.874,96.9,0.125,0.5,67.4,58.9,8.5,1.063,0.92,0.143,0.431,0.373,0.058,0.369,0.686,0.492,0.104,0.162,0.197,0.035,0.073,0.272
St Marys,0.605,0.812,0.8,106,13.8,11.6,1.136,114.3,0.961,95,0.175,19.3,74.9,63.3,11.6,1.153,1.033,0.12,0.472,0.419,0.053,0.373,0.73,0.562,0.092,0.181,0.175,-0.006,0.057,0.241
Syracuse,0.63,0.765,0.556,37,14.1,12.1,1.053,111.4,0.875,86.7,0.178,24.7,71.6,59.6,12,1.049,0.95,0.099,0.441,0.376,0.065,0.331,0.683,0.528,0.132,0.183,0.229,0.046,0.115,0.228
Temple,0.593,0.719,0.583,30,10,4.7,1.05,109.5,0.983,96.8,0.067,12.7,72.8,68.1,4.7,1.063,1.051,0.012,0.43,0.435,-0.005,0.334,0.725,0.49,0.116,0.158,0.197,0.039,0.066,0.259
UCLA,0.613,0.758,0.846,52,12.3,6.2,1.039,109.2,0.953,94.7,0.086,14.5,74.9,68.7,6.2,1.063,0.987,0.076,0.455,0.421,0.034,0.334,0.727,0.49,0.114,0.152,0.196,0.044,0.06,0.214
UNLV,0.619,0.75,0.6,99,12.2,8,1.009,104.2,0.897,88.2,0.112,16,71.6,63.6,8,1.066,0.949,0.117,0.44,0.388,0.052,0.329,0.708,0.537,0.103,0.2,0.184,-0.016,0.099,0.232
Valparaiso,0.572,0.781,0.714,205,9.5,8.9,1.065,108.8,0.933,97.4,0.132,11.4,71.5,62.6,8.9,1.195,1.013,0.182,0.487,0.416,0.071,0.375,0.737,0.537,0.095,0.223,0.193,-0.03,0.062,0.265
VCU,0.609,0.781,0.6,73,15,13.2,1.106,112.2,0.919,91.9,0.187,20.3,78.2,65,13.2,1.096,1.074,0.022,0.455,0.446,0.009,0.355,0.701,0.502,0.169,0.169,0.28,0.111,0.063,0.29
Villanova,0.579,0.594,0.375,13,12.9,2.5,0.963,104.4,0.927,90.8,0.036,13.6,67.4,64.9,2.5,1.058,1.017,0.041,0.413,0.404,0.009,0.337,0.722,0.519,0.108,0.223,0.214,-0.009,0.065,0.214
W Kentucky,0.512,0.613,0.545,190,0.9,0.7,0.982,99.9,0.971,100.3,0.011,-0.4,67,66.3,0.7,1.051,1.033,0.018,0.432,0.427,0.005,0.332,0.68,0.521,0.089,0.221,0.203,-0.018,0.06,0.216
Wichita St,0.597,0.765,0.5,125,12.6,8.7,1.046,110,0.914,89.8,0.132,20.2,69.4,60.7,8.7,1.069,1.007,0.062,0.443,0.4,0.043,0.337,0.688,0.56,0.113,0.193,0.199,0.006,0.085,0.262
Wisconsin,0.6,0.688,0.625,2,16.6,10.1,1.036,106.4,0.878,83.9,0.158,22.5,66.2,56.1,10.1,1.026,0.927,0.099,0.424,0.395,0.029,0.337,0.635,0.529,0.088,0.151,0.176,0.025,0.077,0.243
Averages,0.591176471,0.730985294,0.578264706,101.7647059,11.02794118,8.113235294,1.051941176,108.8632353,0.932411765,93.675,0.119529412,15.18823529,71.58823529,63.475,8.113235294,1.0945,0.996602941,0.097897059,0.452970588,0.409794118,0.043176471,0.354176471,0.709808824,0.522852941,0.102544118,0.183352941,0.198382353,0.015029412,0.069117647,0.257808824
